"period_end_date","2003-04","2003-07","2003-10","2004-01","2004-04","2004-07","2004-10","2005-01","2005-04","2005-07","2005-10","2006-01","2006-04","2006-07","2006-10","2007-01","2007-04","2007-07","2007-10","2008-01","2008-04","2008-07","2008-10","2009-01","2009-04","2009-07","2009-10","2010-01","2010-04","2010-07","2010-10","2011-01","2011-04","2011-07","2011-10","2012-01","2012-04","2012-07","2012-10","2013-01","2013-04","2013-07","2013-10","2014-01","2014-04","2014-07","2014-10","2015-01","2015-04","2015-07","2015-10","2016-01","2016-04","2016-07","2016-10","2017-01","2017-04","2017-07","2017-10","2018-01","2018-04","2018-07","2018-10","2019-01","2019-04","2019-07","2019-10","2020-01","2020-04","2020-07","2020-10","2021-01","2021-04","2021-07","2021-10","2022-01","2022-04","2022-07","2022-10"
"shares_diluted","4395","4388","4372","4337","4302","4272","4249","4242","4234","4180","4169","4170","4170","4172","4173","4156","4128","4108","4056","3997","3967","3958","3944","3936","3930","3900","3861","3817","3781","3707","3631","3562","3513","3485","3458","3435","3425","3398","3379","3356","3318","3291","3271","3253","3248","3241","3240","3243","3243","3231","3219","3175","3154","3119","3100","3076","3047","3021","2996","2977","2967","2946","2941","2912","2886","2869","2861","2856","2849","2848","2849","2841","2829","2812","2797","2781","2765","2745","2711"
"cash_and_equiv","2468","4472","3312","5199","3828","4709","4639","5488","4955","5673","4535","6193","5858","6386","5908","7767","6563","6094","4950","5492","8072","6907","5920","7275","6578","7997","6003","7907","8516","10195","10616","7395","9400","8102","7063","6550","8117","7935","8643","7781","8855","9016","8736","7281","6012","6184","6718","9135","7759","5751","6990","8705","7597","7676","5939","6867","6545","6469","7026","6756","7885","15840","9174","7722","9255","9283","8606","9465","14930","16906","14325","17741","22846","22831","16111","14760","11817","13923","11587"
"st_investments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"receivables","985","1062","1111","1254","1230","1280","1418","1715","1520","1682","1846","2575","2507","2522","2477","2840","2924","2767","3070","3642","3256","3226","3250","3905","3356","3684","3776","4144","4235","4531","4374","5089","4785","5265","4757","5937","5574","5365","5567","6768","6191","5996","6206","6677","6096","6146","6091","6778","5813","5275","5012","5624","5187","5275","5344","5835","5252","5395","5865","5614","4568","5002","5785","6283","5342","5382","5612","6284","5029","5111","5770","6516","5797","6103","7349","8280","7674","7522","8218"
"inventories","25927","25684","31286","26612","28320","27963","33347","29762","31349","30918","36573","31910","32206","32087","38531","33685","35200","34184","39555","35159","35541","35382","40416","34511","34391","33861","38775","32713","35503","34793","41059","36437","38335","38651","44135","40714","41284","40558","47487","43803","43138","42793","49673","44858","45315","45451","51501","45141","46310","45007","50706","44469","44513","43453","49822","43046","43361","43442","50147","43783","43303","41985","50380","44269","44751","44134","51546","44435","41217","41084","51842","44949","46383","47754","57484","56511","61229","59921","64706"
"other_current_assets","1968","935","1081","1356","1375","1664","1573","1889","1817","2120","1970","3147","2961","5177","2707","2690","2892","3342","3337","3727","3426","4019","3270","3258","3421","3483","3394","3268","3420","3526","3519","3091","3438","3396","3316","1774","2301","2401","1734","1588","1992","2197","2527","2369","2264","1851","1531","2224","2251","2099","2404","1441","1800","1828","2296","1941","2178","1457","2330","3511","3486","3543","4107","3623","2391","2572","2148","1622","2152","1895","1665","20861","1565","1555","2020","1519","2500","2798","3169"
"total_current_assets","31348","32153","36790","34421","34753","35616","40977","38854","39641","40393","44924","43825","43532","46172","49623","46982","47579","46387","50912","48020","50295","49534","52856","48949","47746","49025","51948","48032","51674","53045","59568","52012","55958","55414","59271","54975","57276","56259","63431","59940","60176","60002","67142","61185","59687","59632","65841","63278","62133","58132","65112","60239","59097","58232","63401","57689","57336","56763","65368","59664","59242","66370","69446","61897","61739","61371","67912","61806","63328","64996","73602","90067","76591","78243","82964","81070","83220","84164","87680"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ppe_gross","67757","71001","73447","76380","78791","81322","84886","88593","88882","92008","94867","100929","103963","106380","112494","115190","118417","122169","126465","127992","130505","132438","130593","131161","132866","138653","140770","143517","145524","147843","151516","154489","157830","160087","157498","160938","164307","165778","168911","171724","172980","173849","176635","178678","180260","183524","183126","182634","183493","186093","187608","188054","189963","190140","191149","191129","192929","196126","197744","197857","199764","195069","197176","192888","125241","125862","125425","216869","123378","122894","124289","198218","108625","109598","110331","207433","113217","114392","115544"
"accumulated_depreciation","-15491","-16485","-17245","-17357","-18324","-19235","-20343","-20475","-19579","-20369","-20883","-23064","-22505","-23198","-26472","-26750","-28133","-29221","-30334","-31125","-32880","-34236","-34048","-35508","-36762","-38466","-39549","-41210","-42596","-44029","-44974","-46611","-48686","-48497","-47106","-48614","-50835","-52131","-53658","-55043","-56549","-57855","-59408","-60771","-62617","-64801","-65634","-65979","-67808","-69582","-70652","-71538","-73469","-74730","-76061","-76951","-78760","-80773","-82445","-83039","-84964","-84052","-85827","-81493","","","","-89820","","","","-88370","","","","-94809","","",""
"ppe_net","52266","54516","56202","59023","60467","62087","64543","68118","69303","71639","73984","77865","81458","83182","86022","88440","90284","92948","96131","96867","97625","98202","96545","95653","96104","100187","101221","102307","102928","103814","106542","107878","109144","111590","110392","112324","113472","113647","115253","116681","116431","115994","117227","117907","117643","118723","117492","116655","115685","116511","116956","116516","116494","115410","115088","114178","114169","115353","115299","114818","114800","111017","111349","111395","125241","125862","125425","127049","123378","122894","124289","109848","108625","109598","110331","112624","113217","114392","115544"
"intangible_assets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"goodwill","9317","9573","9446","9882","10134","10124","10191","10803","10786","10413","10467","12097","12902","13269","13257","13759","14585","14655","14898","15879","16620","16400","15416","15260","14882","16149","16162","16126","15859","15993","16586","16763","16895","21532","20409","20651","21003","20081","20572","20497","19734","19280","19729","19510","19515","19758","18888","18102","17531","17799","17051","16695","16751","16339","17792","17037","17575","18037","18204","18242","18850","17840","31044","31181","31416","31454","30716","31073","29416","29542","30236","28983","28872","29159","28923","29014","29438","28664","28137"
"other_lt_assets","3542","2544","2383","2079","2226","2232","2378","2379","2485","2320","2424","4400","2593","2165","2217","2406","2974","2959","3123","2748","2943","2759","3026","3567","3358","3581","3603","3942","3910","4092","4194","4129","4068","5120","4967","5456","5349","5674","6562","5987","5846","5693","5778","6149","5901","5872","5668","5455","5398","6178","6025","6131","6363","7905","10576","9921","10638","11413","10543","11798","12035","10835","14744","14822","16148","16174","15777","16567","16770","19950","22736","23598","22493","21552","22633","22152","20267","19979","16295"
"total_assets","96473","98786","104821","105405","107580","110059","118089","120154","122215","124765","131799","138187","140485","144788","151119","151587","155422","156949","165064","163514","167483","166895","167843","163429","162090","168942","172934","170407","174371","176944","186890","180782","186065","193656","195039","193406","197100","195661","205818","203105","202187","200969","209876","204751","202746","203985","207889","203490","200747","198620","205144","199581","198705","197886","206857","198825","199718","201566","209414","204522","204927","206062","226583","219295","234544","234861","239830","236495","232892","237382","250863","252496","236581","238552","244851","244860","246142","247199","247656"
"accounts_payable","17855","17484","20585","19425","19001","18998","22133","21987","22910","22624","25115","25101","25383","26023","29263","28484","27562","27748","30800","30344","29048","29933","30782","28849","28541","28797","30920","30451","31372","33953","36208","33676","34321","34701","37350","36608","37068","36067","40272","38080","36770","36701","39221","37415","36347","36828","39656","38410","37224","37225","40553","38487","37997","39902","42990","41433","41367","42389","47587","46092","44612","43128","49729","47060","45110","45871","49750","46973","44096","46326","54152","49141","48151","49601","57156","55261","52926","54191","57263"
