"period_end_date","2003-04","2003-07","2003-10","2004-01","2004-04","2004-07","2004-10","2005-01","2005-04","2005-07","2005-10","2006-01","2006-04","2006-07","2006-10","2007-01","2007-04","2007-07","2007-10","2008-01","2008-04","2008-07","2008-10","2009-01","2009-04","2009-07","2009-10","2010-01","2010-04","2010-07","2010-10","2011-01","2011-04","2011-07","2011-10","2012-01","2012-04","2012-07","2012-10","2013-01","2013-04","2013-07","2013-10","2014-01","2014-04","2014-07","2014-10","2015-01","2015-04","2015-07","2015-10","2016-01","2016-04","2016-07","2016-10","2017-01","2017-04","2017-07","2017-10","2018-01","2018-04","2018-07","2018-10","2019-01","2019-04","2019-07","2019-10","2020-01","2020-04","2020-07","2020-10","2021-01","2021-04","2021-07","2021-10","2022-01","2022-04","2022-07","2022-10"
"fcf_per_share","0.15","0.23","-0.29","1.22","-0.41","0.22","-0.23","0.96","-0.06","0.07000000000000001","-0.55","1.43","0.19","-0.06","-0.39","1.46","-0.28","0.17","-0.08","1.87","0.37","1.04","-0.65","2.37","0.28","0.82","-0.15","2.75","-0.39","1.63","-0.39","2.31","-0.09","1.28","-0.12","2.21","0.91","0.92","0.32","1.76","0.59","1.01","-0.29","2.01","1.18","0.9399999999999999","0.25","2.86","0.71","0.9399999999999999","0.5600000000000001","3.01","1.29","2.08","0.82","2.73","1.18","1.18","1.1","2.76","1.19","1.18","1.22","2.52","0.49","1.76","0.19","2.76","1.87","3.56","0.38","3.34","0.25","2.44","0.15","1.25","-2.63","3.31","0.72"
"book_value_per_share","9.15","9.710000000000001","9.65","10.06","9.85","10.1","10.56","11.64","11.15","11.42","11.97","12.75","12.79","13.51","14.08","14.82","14.51","15.16","15.55","16.16","15.94","16.88","16.62","17.14","16.33","17.73","18.12","19.11","18.23","18.13","18.83","20.12","19.47","21.03","20.75","22.17","21.72","22.11","23.41","24.51","23.02","23.45","24.46","25.46","24.08","25.55","25.94","26.5","24.67","25.42","25.67","26.33","24.65","25.37","25.96","26.18","24.98","26.17","26.34","27.15","26.4","25.05","27.02","27.35","25.96","26.88","27.37","28.55","26.01","28.51","30.71","30.81","29.9","30.98","32.45","33.04","31.05","31.27","29.65"
"tangible_book_per_share","7.03","7.53","7.49","7.78","7.5","7.73","8.17","9.1","8.6","8.93","9.460000000000001","9.85","9.69","10.33","10.9","11.5","10.98","11.59","11.88","12.19","11.75","12.73","12.71","13.27","12.55","13.59","13.93","14.89","14.04","13.82","14.27","15.41","14.67","14.85","14.85","16.16","15.59","16.2","17.32","18.4","17.08","17.59","18.43","19.47","18.07","19.46","20.11","20.92","19.26","19.91","20.37","21.08","19.34","20.14","20.22","20.64","19.21","20.19","20.26","21.02","20.05","19","16.47","16.64","15.07","15.92","16.63","17.67","15.69","18.14","20.1","20.61","19.7","20.61","22.11","22.61","20.41","20.83","19.27"
"payout_ratio","0.21","0.16","0.2","0.14","0.26","0.21","0.24","0.18","0.26","0.22","0.26","0.17","0.27","0.34","0.27","0.18","0.32","0.31","0.31","0.22","0.31","0.27","0.3","0.25","0.35","0.31","0.34","0.23","0.35","0.31","0.32","0.18","0.38","0.33","0.38","0.24","0.37","0.34","0.37","0.24","0.41","0.38","0.41","0.35","0.43","0.38","0.42","0.31","0.48","0.45","0.48","0.34","0.51","0.41","0.51","0.41","0.51","0.53","0.88","0.7","0.72","-1.79","0.9","0.41","0.4","0.42","0.46","0.37","0.39","0.24","0.3","-0.73","0.57","0.36","0.5","0.43","0.76","0.3","-0.85"
"revenue_growth","0.1","0.11","0.13","0.12","0.14","0.11","0.1","0.05","0.1","0.09","0.09","0.13","0.11","0.11","0.12","0.11","0.08","0.09","0.09","0.07000000000000001","0.1","0.1","0.07000000000000001","0.03","-0.01","-0.01","0.01","0.05","0.06","0.03","0.03","0.02","0.04","0.05","0.08","0.05","0.08","0.04","0.03","0.04","0.01","0.02","0.02","0.02","0.01","0.03","0.03","0.01","","","-0.01","-0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.04","0.04","0.04","0.04","0.01","0.02","0.01","0.02","0.02","0.02","0.09","0.06","0.05","0.07000000000000001","0.03","0.02","0.04","0.01","0.02","0.08","0.09"
"gross_profit_growth","0.11","0.13","0.12","0.14","0.16","0.13","0.13","0.08","0.11","0.1","0.08","0.14","0.14","0.12","0.15","0.12","0.09","0.08","0.09","0.15","0.12","0.13","0.09","","0.01","0.02","0.03","0.08","0.06","0.02","0.03","0.01","0.03","0.05","0.06","0.03","0.07000000000000001","0.04","0.03","0.05","0.01","0.03","0.02","","0.01","0.02","0.03","0.02","","","0.01","0.01","0.04","0.04","0.02","0.02","0.02","0.01","0.03","0.01","0.04","0.02","","0.01","","","0.01","","0.06","0.08","0.07000000000000001","0.09","0.07000000000000001","0.02","0.03","0.01","-0.01","0.03","0.05"
"ebitda_growth","0.12","0.14","0.13","0.14","0.17","0.15","0.12","0.13","0.09","0.08","0.08","0.08","0.14","0.1","0.11","0.11","0.09","0.06","0.12","0.08","0.1","0.1","0.06","-0.06","","0.02","0.04","0.17","0.1","0.05","0.04","0.07000000000000001","0.04","0.04","0.06","0.04","0.08","0.05","0.03","0.04","0.02","0.02","0.04","-0.11","-0.02","","0.01","0.06","-0.05","-0.07000000000000001","-0.06","-0.11","-0.04","0.03","-0.06","-0.02","0.02","-0.01","-0.02","-0.2","0.01","-0.02","0.02","0.23","-0.02","-0.01","-0.02","-0.07000000000000001","0.05","0.06","0.15","0.02","0.19","0.13","-0.01","0.03","-0.16","-0.04","-0.35"
"operating_income_growth","0.11","0.13","0.12","0.16","0.17","0.16","0.11","0.16","0.09","0.07000000000000001","0.08","0.07000000000000001","0.14","0.08","0.09","0.09","0.08","0.04","0.11","0.07000000000000001","0.1","0.1","0.07000000000000001","-0.08","-0.02","0.02","0.03","0.18","0.1","0.04","0.03","0.07000000000000001","0.03","0.03","0.05","0.04","0.08","0.05","0.04","0.03","0.01","0.01","0.04","-0.14","-0.04","-0.01","-0.01","0.08","-0.08","-0.1","-0.09","-0.16","-0.07000000000000001","0.02","-0.1","-0.07000000000000001","-0.01","-0.03","-0.07000000000000001","-0.28","-0.02","-0.04","0.05","0.36","-0.04","-0.03","-0.05","-0.12","0.06","0.09","0.22","0.03","0.32","0.21","","0.07000000000000001","-0.23","-0.07000000000000001","-0.53"
"pretax_income_growth","0.13","0.14","0.13","0.17","0.18","0.16","0.11","0.15","0.1","0.06","0.06","0.07000000000000001","0.1","0.06","0.08","0.09","0.08","0.04","0.11","0.04","0.08","0.1","0.07000000000000001","-0.08","-0.01","0.02","0.03","0.19","0.11","0.05","0.03","0.07000000000000001","0.02","0.02","0.05","0.04","0.09","0.07000000000000001","0.04","0.04","0.01","0.01","0.03","-0.16","-0.05","","-0.02","0.08","-0.14","-0.11","-0.08","-0.17","-0.03","0.01","-0.12","-0.07000000000000001","-0.01","-0.18","-0.37","-0.48","-0.4","-0.91","-0.11","0.91","0.83","11.34","0.7","","0.05","0.76","0.63","-1.1","-0.29","-0.31","-0.42","9.06","-0.25","0.12","-1.35"
"net_income_growth","0.14","0.21","0.13","0.08","0.16","0.08","0.13","0.16","0.14","0.06","0.04","0.13","0.06","-0.26","0.11","0.1","0.08","0.42","0.08","0.04","0.07000000000000001","0.17","0.1","-0.08","","0.01","","0.26","0.09","0.04","0.09","0.27","0.03","0.06","-0.03","-0.15","0.1","0.06","0.09","0.09","0.01","0.01","0.03","-0.21","-0.05","0.01","-0.01","0.12","-0.07000000000000001","-0.15","-0.11","-0.08","-0.08","0.09","-0.08","-0.18","-0.01","-0.23","-0.42","-0.42","-0.3","-1.3","-0.02","0.7","0.8","5.19","0.92","0.12","0.04","0.79","0.5600000000000001","-1.5","-0.32","-0.34","-0.4","2.7","-0.25","0.2","-1.58"
"eps_diluted_growth","0.14","0.24","0.12","0.11","0.19","0.11","0.17","0.17","0.16","0.08","0.06","0.16","0.09","-0.25","0.11","0.1","0.08","0.44","0.11","0.07000000000000001","0.12","0.21","0.14","-0.06","0.01","0.02","0.01","0.26","0.13","0.09","0.17","0.4","0.11","0.12","0.01","-0.12","0.12","0.08","0.13","0.11","0.05","0.05","0.06","-0.19","-0.03","0.02","0.01","0.13","-0.07000000000000001","-0.14","-0.1","-0.07000000000000001","-0.05","0.12","-0.05","-0.15","0.02","-0.21","-0.41","-0.4","-0.28","-1.3","","0.74","0.85","5.34","0.98","0.14","0.05","0.8","0.57","-1.51","-0.31","-0.33","-0.38","2.73","-0.24","0.24","-1.59"
"shares_diluted_growth","-0.02","-0.01","-0.01","-0.02","-0.02","-0.03","-0.03","-0.02","-0.02","-0.02","-0.02","-0.02","-0.02","","","","-0.01","-0.02","-0.03","-0.04","-0.04","-0.04","-0.03","-0.02","-0.01","-0.01","-0.02","-0.03","-0.04","-0.05","-0.06","-0.07000000000000001","-0.07000000000000001","-0.06","-0.05","-0.04","-0.03","-0.02","-0.02","-0.02","-0.03","-0.03","-0.03","-0.03","-0.02","-0.02","-0.01","","","","-0.01","-0.02","-0.03","-0.03","-0.04","-0.03","-0.03","-0.03","-0.03","-0.03","-0.03","-0.02","-0.02","-0.02","-0.03","-0.03","-0.03","-0.02","-0.01","-0.01","","-0.01","-0.01","-0.01","-0.02","-0.02","-0.02","-0.02","-0.03"
"cash_and_equiv_growth","0.02","0.95","0.58","0.9","0.55","0.05","0.4","0.06","0.29","0.2","-0.02","0.13","0.18","0.13","0.3","0.25","0.12","-0.05","-0.16","-0.29","0.23","0.13","0.2","0.32","-0.19","0.16","0.01","0.09","0.29","0.27","0.77","-0.06","0.1","-0.21","-0.33","-0.11","-0.14","-0.02","0.22","0.19","0.09","0.14","0.01","-0.06","-0.32","-0.31","-0.23","0.25","0.29","-0.07000000000000001","0.04","-0.05","-0.02","0.33","-0.15","-0.21","-0.14","-0.16","0.18","-0.02","0.2","1.45","0.31","0.14","0.17","-0.41","-0.06","0.23","0.61","0.82","0.66","0.87","0.53","0.35","0.12","-0.17","-0.48","-0.39","-0.28"
"ppe_growth","0.12","0.12","0.12","0.15","0.16","0.14","0.15","0.15","0.15","0.15","0.15","0.14","0.18","0.16","0.16","0.14","0.11","0.12","0.12","0.1","0.08","0.06","","-0.01","-0.02","0.02","0.05","0.07000000000000001","0.07000000000000001","0.04","0.05","0.05","0.06","0.07000000000000001","0.04","0.04","0.04","0.02","0.04","0.04","0.03","0.02","0.02","0.01","0.01","0.02","","-0.01","-0.02","-0.02","","","0.01","-0.01","-0.02","-0.02","-0.02","","","0.01","0.01","-0.04","-0.03","-0.03","0.09","0.13","0.13","0.14","-0.01","-0.02","-0.01","-0.14","-0.12","-0.11","-0.11","0.03","0.04","0.04","0.05"
"total_assets_growth","0.13","0.12","0.1","0.11","0.12","0.11","0.13","0.14","0.14","0.13","0.12","0.15","0.15","0.16","0.15","0.1","0.11","0.08","0.09","0.08","0.08","0.06","0.02","","-0.03","0.01","0.03","0.04","0.08","0.05","0.08","0.06","0.07000000000000001","0.09","0.04","0.07000000000000001","0.06","0.01","0.06","0.05","0.03","0.03","0.02","0.01","","0.02","-0.01","-0.01","-0.01","-0.03","-0.01","-0.02","-0.01","","0.01","","0.01","0.02","0.01","0.03","0.03","0.02","0.08","0.07000000000000001","0.14","0.14","0.06","0.08","-0.01","0.01","0.05","0.07000000000000001","0.02","","-0.02","-0.03","0.04","0.04","0.01"
"total_equity_growth","0.12","0.15","0.11","0.11","0.05","0.01","0.06","0.13","0.11","0.11","0.11","0.08","0.13","0.18","0.18","0.16","0.12","0.1","0.07000000000000001","0.05","0.06","0.07000000000000001","0.04","0.04","0.02","0.04","0.07000000000000001","0.08","0.07000000000000001","-0.03","-0.02","-0.02","-0.01","0.09","0.05","0.06","0.09","0.03","0.1","0.08","0.03","0.03","0.01","0.01","0.02","0.07000000000000001","0.05","0.04","0.02","-0.01","-0.02","-0.03","-0.03","-0.04","-0.03","-0.04","-0.02","","-0.02","","0.03","-0.07000000000000001","0.01","-0.01","-0.04","0.04","-0.01","0.02","-0.01","0.05","0.12","0.07000000000000001","0.14","0.07000000000000001","0.04","0.05","0.01","-0.01","-0.11"
"cfo_growth","0.22","0.26","1.47","0.12","-0.67","0.09","0.73","-0.07000000000000001","1.9","-0.01","-0.36","0.33","0.49","-0.11","0.7","","-0.51","0.24","0.22","0.08","1.05","0.47","-0.92","0.15","-0.06","-0.01","8.710000000000001","0.09","-0.73","0.43","-0.12","-0.18","1.03","-0.15","0.43","","1.75","-0.2","0.34","-0.15","-0.1","0.03","-0.52","0.03","0.21","-0.06","0.73","0.32","-0.25","-0.05","0.37","-0.04","0.39","0.54","-0.01","-0.05","-0.13","-0.32","0.18","-0.05","-0.04","-0.01","0.09","-0.07000000000000001","-0.31","0.28","-0.46","0.03","0.97","0.57","0.17","0.23","-0.59","-0.2","-0.01","-0.4","-2.31","0.36","0.67"
"capex_growth","0.02","-0.13","-0.13","-0.2","-0.33","-0.15","-0.29","-0.22","-0.05","-0.21","-0.1","-0.17","-0.07000000000000001","-0.02","-0.13","0.01","-0.01","0.03","0.15","0.13","0.22","0.38","0.25","0.05","-0.07000000000000001","-0.39","-0.12","0.03","0.01","0.05","-0.16","0.05","0.06","-0.09","0.01","-0.19","-0.01","0.07000000000000001","0.11","-0.01","-0.26","0.01","0.06","0.1","0.28","0.04","0.09","-0.12","-0.01","0.1","-0.12","0.22","0.01","0.15","0.25","-0.17","0.15","-0.08","-0.03","0.12","0.1","-0.02","-0.1","-0.02","-0.34","-0.05","-0.07000000000000001","0.09","0.22","0.3","-0.02","-0.31","-0.27","-0.51","-0.21","-0.19","-0.64","-0.45","-0.31"
"fcf_growth","4.09","0.82","0.31","0.08","-3.71","-0.06","0.22","-0.23","0.85","-0.72","-1.3","0.47","4.04","-1.9","0.28","0.01","-2.45","3.8","0.79","0.23","2.28","5.01","-6.48","0.25","-0.25","-0.23","0.77","0.13","-2.34","0.9","-1.35","-0.22","0.78","-0.26","0.7","-0.08","10.69","-0.3","3.59","-0.22","-0.37","0.07000000000000001","-1.88","0.11","0.95","-0.09","1.84","0.42","-0.4","","1.22","0.03","0.76","1.14","0.41","-0.12","-0.12","-0.45","0.3","-0.02","-0.01","-0.02","0.08","-0.11","-0.6","0.45","-0.85","0.08","2.8","1.01","0.95","0.2","-0.87","-0.32","-0.61","-0.63","-11.14","0.32","3.7"
"shares_eop","4378.92","4369.2","4328","4311","4269","4243","4235","4234","4182","4163","4163","4165","4167.78","4169.03","4168.03","4131","4108.78","4068.23","4004.81","3973","3943.72","3933.98","3922.55","3915.12","3915.12","3856.83","3810.17","3786","3736","3655","3583","3516","3479","3462","3437","3418","3395","3372","3358","3314","3287","3266","3242","3233","3230","3227","3227","3228","3227","3215","3210","3162","3125","3097","3079","3048","3023","2993","2968","2952","2951","2935","2912.71","2900","2862","2847","2839","2800","2832","2834","2831","2821","2805","2791","2778","2761","2748","2722","2714.24"
"dividends","0.09","0.09","0.09","0.09","0.13","0.13","0.13","0.13","0.15","0.15","0.15","0.15","0.17","0.17","0.17","0.17","0.22","0.22","0.22","0.22","0.24","0.24","0.24","0.24","0.27","0.27","0.27","0.27","0.3","0.3","0.3","0.3","0.37","0.37","0.37","0.37","0.4","0.4","0.4","0.4","0.47","0.47","0.47","0.47","0.48","0.48","0.48","0.48","0.49","0.49","0.49","0.49","0.5","0.5","0.5","0.5","0.51","0.51","0.51","0.51","0.52","0.52","0.52","0.52","0.53","0.53","0.53","0.53","0.54","0.54","0.54","0.54","0.55","0.55","0.55","0.55","0.5600000000000001","0.5600000000000001","0.5600000000000001"
"price_to_earnings","30.13","28.37","28.86","25.64","26","23.51","23.24","21.61","18.66","19.17","18.23","17.1","16.48","17.4","18.78","17.46","17.13","15.12","14.4","15.83","17.69","17.18","15.97","13.79","14.75","14.35","14.11","14.05","13.66","12.64","12.86","12.03","11.6","10.93","11.75","13.36","12.47","15.44","15.22","13.64","14.99","14.89","14.47","15.07","16.26","14.98","15.55","16.76","15.63","14.94","12.18","14.28","14.48","15.34","14.91","14.91","16.71","18.81","22.64","31.91","29.14","50.39","56.63","41.67","35.13","24.46","23.07","21.54","22.9","20.49","19.9","29.34","32.04","39.59","51.76","28.23","32.35","25.91","43.08"
"price_to_book","6.13","5.74","6.05","5.32","5.74","5.21","5.09","4.49","4.18","4.31","3.95","3.61","3.52","3.29","3.5","3.2","3.29","3","2.87","3.12","3.62","3.45","3.34","2.73","3.07","2.78","2.71","2.77","2.91","2.78","2.84","2.75","2.8","2.49","2.72","2.75","2.69","3.34","3.19","2.82","3.34","3.3","3.11","2.91","3.29","2.87","2.93","3.19","3.15","2.82","2.22","2.51","2.69","2.86","2.68","2.53","2.99","3.03","3.28","3.89","3.33","3.55","3.68","3.49","3.93","4.07","4.25","3.93","4.64","4.52","4.49","4.53","4.64","4.57","4.57","4.2","4.9","4.19","4.81"
"price_to_sales","1.04","1","1.02","0.9","0.91","0.82","0.8100000000000001","0.78","0.68","0.6899999999999999","0.65","0.61","0.58","0.5600000000000001","0.61","0.57","0.55","0.52","0.49","0.53","0.59","0.58","0.55","0.46","0.49","0.48","0.47","0.5","0.48","0.45","0.46","0.47","0.45","0.42","0.44","0.47","0.44","0.55","0.54","0.49","0.54","0.54","0.52","0.51","0.54","0.49","0.51","0.5600000000000001","0.52","0.48","0.38","0.44","0.43","0.47","0.44","0.42","0.47","0.49","0.52","0.63","0.52","0.51","0.57","0.54","0.57","0.61","0.64","0.61","0.64","0.68","0.72","0.71","0.7","0.7","0.73","0.67","0.73","0.61","0.64"
"price_to_tangible_book","7.99","7.4","7.8","6.88","7.55","6.81","6.58","5.75","5.42","5.51","4.99","4.68","4.64","4.3","4.51","4.12","4.34","3.92","3.76","4.14","4.91","4.58","4.37","3.53","4","3.63","3.52","3.56","3.78","3.65","3.75","3.59","3.71","3.53","3.8","3.78","3.75","4.56","4.3","3.75","4.51","4.4","4.13","3.81","4.39","3.77","3.78","4.04","4.03","3.6","2.8","3.14","3.43","3.6","3.44","3.2","3.88","3.92","4.27","5.03","4.39","4.68","6.03","5.74","6.77","6.88","7","6.35","7.7","7.1","6.86","6.77","7.04","6.86","6.71","6.14","7.45","6.29","7.39"
"price_to_fcf","57.51","51.47","48.07","40.81","74.8","70.40000000000001","65.83","99","52.43","66.81","110.21","51.75","39.45","43.76","42.03","39.7","64.84999999999999","47.12","34.43","30.26","24.69","18.16","20.87","14.92","16.44","17.39","14.54","14.25","17.23","12.9","14.17","17.24","15.21","16.6","16.29","18.52","13.55","18.72","16.87","17.53","21.15","20.71","24.32","22.21","20.21","19.07","17.31","16.17","16.31","15","11.19","12.56","11.31","10.3","9.51","9.460000000000001","10.81","13.24","13.74","16.86","14.02","14.13","15.53","15.5","18.64","18.11","23.25","21.56","18.31","15.34","16.09","15.23","18.32","21.94","23.75","33.66","120.43","62.96","53.37"
"market_cap","246620.7744","244281.972","255135.6","232147.35","243333","224921.43","228351.2","221861.6","197139.48","205444.05","196951.53","192048.15","187675.1334","185521.835","205400.5184","197007.39","196892.7376","186935.1685","181057.4601","201590.02","228656.8856","230609.9076","218917.5155","184480.4544","197322.048","192378.6804","189289.2456","202285.98","200399.04","187099.45","194091.11","197142.12","191275.42","182482.02","194946.64","209728.48","199999.45","250977.96","251917.16","231814.3","255465.64","254552.04","248823.5","241440.44","257463.3","237442.66","246123.29","274315.44","251867.35","231415.7","183740.4","209830.32","208968.75","225988.09","215591.58","203423.52","227269.14","239410.07","259136.08","314683.2","261045.46","261890.05","292086.5588","277907","294328.08","314251.86","332901.14","320572","344229.6","366719.6","392801.25","396322.29","392447.55","397857.05","415088.76","386015.41","420416.52","359440.1","386317.7792"
"period_end_price","56.32","55.91","58.95","53.85","57","53.01","53.92","52.4","47.14","49.35","47.31","46.11","45.03","44.5","49.28","47.69","47.92","45.95","45.21","50.74","57.98","58.62","55.81","47.12","50.4","49.88","49.68","53.43","53.64","51.19","54.17","56.07","54.98","52.71","56.72","61.36","58.91","74.43000000000001","75.02","69.95","77.72","77.94","76.75","74.68000000000001","79.70999999999999","73.58","76.27","84.98","78.05","71.98","57.24","66.36","66.87","72.97","70.02","66.73999999999999","75.18000000000001","79.98999999999999","87.31","106.6","88.45999999999999","89.23","100.28","95.83","102.84","110.38","117.26","114.49","121.55","129.4","138.75","140.49","139.91","142.55","149.42","139.81","152.99","132.05","142.33"
