"period_end_date","2010-12","2011-12","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06"
"other_lt_liabilities","","853.665","","891.973","","27.132","31.89","20.784","26.004","33.991","36.495","43.209","41.142","44.264","45.672","50.585","51.079","62.861","62.763","68.04900000000001","66.911","64.499","62.769","59.973","62.782000000001","64.703","67.806","67.502","19.636","24.781","23.38","24.312","28.562","34.029","34.317999999998","36.099","32.917","34.043","30.282","43.531","50.047","59.111"
"total_liabilities","","922.513","","1079.74","","247.163","287.758","416.234","419.363","538.224","1923.616","1956.679","1956.32","1999.15","2014.901","2074.392","1998.682","2059.961","2113.614","2265.43","2202.366","2234.202","2246.383","2365.259","2329.005","3290.326","3293.62","3356.978","4056.412","4176.793","3185.283","3999.003","4745.098","4889.532","5276.704","5409.008","7247.425","7607.097","7416.714","6752.317","7646.041","7646.806"
"common_stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","","-269.904","","-349.303","","-748.186","-868.37","-994.626","-1126.988","-1271.63","-1447.094","-1572.446","-1734.888","-1871.551","-2003.241","-2093.477","-2173.208","-2280.425","-2383.296","-2550.35","-2625.225","-2741.713","-2762.808","-2671.729","-2598.672","-2498.555","-1709.376","-1454.073","-1263.269","-143.709","-107.187","11.586","1.561","-1376.444","-1347.785","-1125.669","-712.888","-647.239","-1183.996","-1002.302","-616.86","-963.6660000000001"
"aoci","","-0.032","","-0.657","","-0.653","-0.343","-0.323","-0.296","0.199","-1.22","-10.024","-42.956","-32.834","-34.296","-45.566","-30.49","-44.503","-46.309","-69.253","-61.359","-46.828","-36.756","-31.579","-22.325","-56.434","-63.093","-65.31100000000001","-56.665","-46.944","-115.909","-70.53400000000001","-157.997","-93","-90.087","-66.09399999999999","-96.932","-89.056","-106.794","-117.32","-155.522","-200.456"
"apic","","68.09699999999999","","101.787","","1465.733","1573.756","3944.952","4064.127","4318.021","4973.349","5208.87","5464.938","6135.566","6311.697","6507.087","6681.181","6881.778","7058.933","7224.534","7376.956","7517.433","7628.966","7750.522","7831.429","8125.889","8225.037","8324.974","8408.749","8535.463","8638.734","8763.33","8952.058999999999","9127.495000000001","9249.956","9167.138000000001","8551.763000000001","8457.717000000001","8468.708000000001","8432.111999999999","6677.294","7096.599"
"treasury_stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.297","-5.297","-5.298","-5.291","-5.295","",""
"other_equity","","0.0010000000000048","","0.0009999999999763499","","0.0020000000000664","0.001999999999839","0.0029999999997017","0.0030000000001564","0.0030000000001564","0.0030000000001564","0.0029999999997017","0.0030000000001564","0.0030000000006112","0.0029999999997017","0.0029999999987922","0.0029999999997017","0.0029999999997017","0.0040000000008149","0.0040000000008149","0.0039999999999054","0.0039999999999054","0.0039999999999054","0.0039999999999054","0.003999999998995901","0.0040000000008149","0.0039999999999054","0.0039999999999054","0.0040000000008149","0.0040000000008149","0.003999999998995901","0.0040000000008149","0.0040000000008149","0.003999999998995901","0.0039999999999054","0.003999999998995901","0.0039999999980864","0.003999999998995901","0.0039999999999054","0.0040000000008149","0.0039999999999054","0.0039999999999054"
"minority_interest_liability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
