"period_end_date","2007-12","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"cash_and_equiv","17.211","","9.276999999999999","","","106.547","69.627","61.546","47.304","96.563","99.55800000000001","100.655","319.38","213.328","255.266","218.57","210.554","85.693","201.89","214.417","746.057","795.116","845.889","2393.908","2674.91","2370.735","1905.713","1510.076","1150.673","1426.036","1196.908","1441.789","3246.301","3084.257","3393.216","4006.593","3035.924","3530.03","3367.914","2665.673","2236.424","2967.504","3686","2198.169","4954.74","5338","6268","8080","8615","14531","19384","17141","16229","16065","17576","17505","18324","19532"
"st_investments","","","","","","","","","","","","","","65.06","25.061","25.009","","","","","","","","189.111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","131","508","591","1575"
"receivables","0.059","","3.32","","","1.386","3.488","5.931","6.467","8.061999999999999","6.71","20.26","23.308","18.25","9.539","13.589","11.023","9.164","26.842","46.139","113.544","47.58","49.109","72.38","96.607","156.889","226.604","200.052","138.648","119.964","168.965","318.056","178.594","326.895","499.142","440.349","453.539","607.734","515.381","652.848","569.874","1155.001","949","1046.945","1147.1","1128","1324","1274","1485","1757","1886","1890","2129","1962","1913","2311","2081","2192"
"inventories","2.108","","16.65","","","19.653","23.222","28.588","29.518","39.508","45.182","50.823","54.312","49.216","50.082","55.427","66.669","159.048","268.504","237.618","254.891","347.545","340.355","450.73","596.927","752.492","953.675","1054.84","1212.279","1293.717","1277.838","1301.961","1609.607","1604.571","2067.454","2220.336","2438.111","2471.382","2263.537","2565.826","3324.643","3314.127","3113","3836.85","3382.358","3581","3552","4494","4018","4218","4101","4132","4733","5199","5757","6691","8108","10327"
"other_current_assets","2.93","","2.18","","","4.364","4.222","4.537","6.745","97","84.43600000000001","55.168","20.758","66.267","32.89","46.302","28.88","30.636","27.532","27.819","15.05","28.525","30.586","49.918","73.25","82.798","94.081","156.449","127.021","159.078","138.295","177.737","169.203","156.689","299.984","360.611","431.87","459.587","423.688","499.573","568.856","483.859","559","595.8579999999999","697.754","893","959","1045","1218","1238","1346","1542","1602","1746","1723","2035","2118","2364"
"total_current_assets","22.308","","31.427","","","131.95","100.559","100.602","90.03400000000001","241.133","235.886","226.906","417.758","412.121","372.838","358.897","317.126","284.541","524.768","525.9930000000001","1129.542","1218.766","1265.939","3156.047","3441.694","3362.914","3180.073","2921.417","2628.621","2998.795","2782.006","3239.543","5203.705","5172.412","6259.796","7027.889","6359.444","7068.733","6570.52","6383.92","6699.797","7920.491","8307","7677.822","10181.952","10940","12103","14893","15336","21744","26717","24705","24693","25002","27100","29050","31222","35990"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1331","1311","1260","","","",""
"ppe_gross","15.196","","25.619","","","30.612","36.265","41.555","50.367","62.185","144.592","177.331","224.799","288.173","342.393","411.232","472.023","543.3869999999999","619.843","665.99","822.0119999999999","1039.688","1261.061","1470.453","1771.738","2265.516","2888.601","3478.638","4170.132","4937.305","5765.863","6510.313","7310.962","8170.451","16054.559","17787.289","19672.101","21220.728","22435.52","21457.645","22129.591","22627.348","30148","22787.24","23457.295","24039","24656","25321","26145","27701","29447","30233","32854","35480","39094","39905","41471","42884"
"accumulated_depreciation","-3.198","","-6.826","","","-11.139","-12.73","-14.689","-17.211","-19.289","-21.993","-24.818","-24.619","-28.379","-32.222","-35.058","-38.381","-45.35","-57.543","-74.93300000000001","-94.965","-116.382","-140.142","-169.335","-204.69","-243.447","-292.59","-342.386","-403.869","-472.769","-571.126","-673.0890000000001","-783.986","-912.106","-1017.642","-1232.153","-1453.547","-1704.132","-1943.904","-2276.921","-2538.165","-2893.379","-10457","-3469.145","-3856.316","-4194","-4457","-4853","-5269","-5711","-6072","-5389","-5824","-6232","-7918","-7266","-7787","-8321"
"ppe_net","11.998","","18.793","","","19.473","23.535","26.866","33.156","42.896","122.599","152.513","200.18","259.794","310.171","376.174","433.642","498.037","562.3","591.057","727.047","923.306","1120.919","1301.118","1567.048","2022.069","2596.011","3136.252","3766.263","4464.536","5194.737","5837.224","6526.976","7258.345","15036.917","16555.136","18218.554","19516.596","20491.616","19180.724","19591.426","19733.969","19691","19318.095","19600.979","19845","20199","20468","20876","21990","23375","24844","27030","29248","31176","32639","33684","34563"
"intangible_assets","","","","","","","","","","","","","","","14.508","","","","14.267","14.15","14.029","13.837","","13.662","13.541","13.42","","","","","12.816","","","","376.145","388.612","380.843","372.234","361.499","346.432","300.41","291.472","282","273.57","327.353","351","339","323","312","318","313","299","283","269","1517","1515","459","446"
"goodwill","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.98","43.77","45.24","60.24","61.28","64.28","65.23","68","74.31","153.48","186","198","193","196","203","207","206","203","201","200","200","196","191"
