"period_end_date","2016-12","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"other_equity","0.006000000000085499","","0.006000000000085499","","","0.029999999999973","0.032999999999902","0.033000000000129","0.033000000000129","0.032999999999902","0.033999999999878","-2.2737367544323E-13","0.03899999999976","0.039999999999964","","","","","","","",""
"minority_interest_liability","","","","","","","","","","","","","","","","","","","","","",""
"total_equity","841.851","","625.296","","","1076.432","1530.241","1446.033","1338.554","1251.807","1174.81","1640.874","2946.885","2759.798","2561","3838","6704","10124","14145","17075","17985","17992"
"total_liabilities_and_equity","1417.161","","1084.489","","","1489.16","1962.149","1806.207","1685.279","1590.899","1589.422","2067.541","3486.006","4650.873","7337","12694","16153","20923","24669","27609","26043","26056"
"cfo_net_income","","","-37.944","-72.376","-90.601","-80.331","-141.426","-132.576","-134.94","-123.215","-123.269","-124","-117","-233","-273","1221","2780","3333","4868","3657","2197","1043"
"cfo_da","","","5.915","5.153","5.878","6.481","7.35","7.316","7.477","7.253","8.954000000000001","7","8","9","7","15","69","70","78","79","76","113"
"cfo_receivables","","","1.407","-24.653","25.908","0.605","-1.028","5.974","2.093","-3.698","2.631","-2","","","","-1819","1190","-1122","-33","1","483","-4"
"cfo_inventory","","","","","","","","","","","","","","","","-448","-148","-322","-476","-501","21","-156"
"cfo_prepaid_expenses","","","-0.227","-2.241","-6.631","3.626","-0.043","3.354","2.681","-4.222","8.186999999999999","-4","-8","-56","-173","-12","-98","-76","-303","-414","90","-345"
"cfo_other_working_capital","","","-82.84099999999999","-29.036","3.292","-24.74","12.358","-45.847","-6.031","-3.003","-15.119","-4","8","56","173","3979","227","1333","-882","-121","-2639","-496"
"cfo_change_in_working_capital","","","-81.661","-55.93","22.569","-20.509","11.287","-36.519","-1.257","-10.923","-4.301","-10","","","","1700","1171","-187","-1694","-1035","-2045","-1001"
"cfo_deferred_tax","","","","","","","","","","","","","","","","","","","","","",""
"cfo_stock_comp","","","11.03","11.85","14.35","14.72","31.64","18.5","21.5","20.8","20.2","20","25","22","26","30","35","40","37","44","50","70"
"cfo_other_noncash_items","","","-0.26700000000001","-0.08199999999999401","-0.44500000000001","-0.57199999999999","0.12899999999999","-0.989","-1.365","-1.008","-0.63799999999999","1","60","1095","1504","5","8","20","21","18","26","27"
"cf_cfo","","","-102.927","-111.385","-48.249","-80.211","-91.02","-144.268","-108.585","-107.093","-99.054","-106","-24","893","1264","2971","4063","3276","3310","2763","304","252"
"cfi_ppe_net","","","-11.96","-31.909","-34.08","-26.14","-13.637","-7.595","-10.586","-6.711","-7.108","-6","-19","-19","-24","-35","-30","-99","-120","-132","-87","-89"
"cfi_acquisitions_net","","","","","","","","","","","","","","","","","","","","","",""
"cfi_investment_net","","","126.028","-451.795","22.435","142.222","19.81","-4.164","-236.315","120.078","137.401","-310","32","-1160","-166","-145","-3848","-3228","-988","-3754","-1065","1034"
"cfi_intangibles_net","","","","","","","","","","","","","","","","","","","","","",""
