"period_end_date","2003-12","2004-03","2004-06","2004-09","2004-12","2005-03","2005-06","2005-09","2005-12","2006-03","2006-06","2006-09","2006-12","2007-03","2007-06","2007-09","2007-12","2008-03","2008-06","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"eps_basic","0.07000000000000001","0.03","0.06","-0.06","0.05","0.03","0.04","0.04","0.12","0.09","0.1","0.08","0.14","0.1","0.11","0.11","0.14","0.08","-0.01","0.01","0.05","0.02","0.1","0.1","0.16","0.15","0.14","0.19","0.23","0.18","0.19","0.24","0.26","0.21","0.22","0.24","0.29","0.26","0.28","-0.82","0.36","0.28","0.34","0.39","0.66","0.33","0.42","0.44","0.46","0.39","0.51","0.55","0.52","0.45","0.48","0.55","1.58","0.47","0.62","0.58","0.61","0.54","1.13","0.68","0.75","0.28","-0.58","0.34","0.53","0.5600000000000001","0.98","1.5","0.7","0.59","0.8","0.77"
"eps_diluted","0.07000000000000001","0.02","0.06","-0.06","0.04","0.03","0.04","0.04","0.11","0.08","0.09","0.08","0.13","0.1","0.11","0.11","0.14","0.08","-0.01","0.01","0.05","0.02","0.1","0.1","0.16","0.14","0.14","0.19","0.23","0.17","0.18","0.24","0.25","0.2","0.22","","0.29","0.26","0.28","-0.82","0.36","0.28","0.34","0.39","0.65","0.33","0.41","0.43","0.46","0.39","0.51","0.54","0.51","0.45","0.47","0.54","1.57","0.47","0.61","0.5600000000000001","0.61","0.53","1.12","0.67","0.74","0.28","-0.58","0.33","0.53","0.5600000000000001","0.97","1.49","0.6899999999999999","0.58","0.79","0.76"
"shares_basic","1580.228","3180.456","1591.768","1587.412","3204.188","3207.704","3134.528","3086.784","1534.042","1534.89","1539.65","1520.264","1516.2","1504.994","1488.946","1488.236","1463.2","1457.4","1463.4","1467.8","1472.6","1476","1478.8","1482.2","1488.4","1494.2","1492.2","1480.4","1491.4","1500.6","1501","1493.6","1495.8","1509.2","1517.8","1512.4","1492.2","1498.2","1499.4","1504.2","1509.8","1510.3","1503.5","1501.5","1498.8","1500.5","1498.5","1485.7","1485.9","1472.1","1465.3","1463.2","1457.5","1453.2","1447.7","1439.6","1421","1394.9","1377.1","1337.7","1242","1239.2","1211","1192.4","1180.4","1171.8","1168.5","1170.4","1175","1177.5","1178.5","1179.4","1169.6","1149.2","1147","1147.3"
"shares_diluted","1630.58","3292.472","1649.156","1642.348","3322.62","3312.248","3232.148","3179.732","1585.898","1589.226","1596.518","1568.738","1565.6","1548.11","1527.118","1519.764","1489.8","1478.6","1463.4","1483.4","1478.2","1479.8","1493.4","1515.8","1525.8","1533.8","1533.4","1520.6","1533.4","1543.6","1543.8","1537","1537","1546.6","1553.6","1546.6","1522.6","1522.6","1523.8","1529","1532.4","1529.1","1522","1521.8","1516.8","1516.5","1515.7","1504.7","1503.3","1486.6","1479.3","1477.7","1470.5","1464.8","1459.4","1451.3","1434.6","1406.6","1388.5","1348.7","1253.4","1250.7","1223","1205.6","1191","1180.7","1168.5","1179.1","1183","1184.8","1186.2","1187.9","1176.6","1153.9","1151","1152.5"
"cash_and_equiv","448.312","370.081","383.373","145.053","643.548","177.142","130.112","173.809","251.435","202.671","215.739","312.606","270.873","200.179","172.789","281.3","349.3","303.4","297","269.8","356.8","253.2","292","599.8","1306.3","1086","1125.2","1164","1792","1645.2","1720.8","1148.1","1569.6","1432.2","1501.3","1188.6","1852.1","1223.2","1430.8","2575.7","1545.8","1190.3","1019.4","1708.4","1857","1750.4","2080.5","1530.1","2263.5","1294.4","2141.8","2128.8","2034.6","2163.9","2716.2","2462.3","3661.4","2142","1892.1","8756.299999999999","4761.6","2055.1","4763.3","2686.6","3040.5","2572.3","3965.9","4350.9","5028.1","3880.7","4753.1","6455.7","3969.4","3913.4","3177.5","2818.4"
"st_investments","216.717","287.553","335.74","507.956","334.872","523.462","218.429","133.227","287.095","242.777","226.24","141.038","165.597","143.652","157.234","157.4","186.1","68.09999999999999","52.7","52.5","38.7","41.3","44.7","66.3","50.4","207.9","269.9","285.7","258.6","282.3","231.7","902.6","703.6","802.1","996.3","848.4","607.6","474.5","613.5","658.1","157","299.2","176.9","135.4","96.09999999999999","99.40000000000001","94.7","81.3","116.4","123.2","174.5","134.4","140.8","231","289.9","228.6","106.6","100.5","84.5","181.5","230.2","76.59999999999999","72.09999999999999","70.5","68.40000000000001","52.9","229.9","281.2","235.5","123","153.6","162.2","87.40000000000001","82.09999999999999","76.90000000000001","364.5"
"receivables","122.809","118.587","122.76","140.226","149.406","151.638","148.982","190.762","197.765","190.631","184.941","224.271","227.823","240.775","250.866","287.9","316.2","300.3","284.1","329.5","332","309.3","295.2","271","263.4","299.7","282.5","302.7","316.1","355.7","361.5","386.5","431","437.4","433","485.9","469.2","520","506.8","561.4","589.8","590","580.9","631","664.9","655.6","672.7","719","764.4","743.7","747.3","768.8","865.1","791","791.1","938.4","1467.3","869.6","1811.1","1648.5","843.2","900","898.1","1020.3","1049.1","1331.8","1524.9","1395.4","1369.9","1219.4","1140.8","1133.1","1151.5","1282.3","1300.4","1272.6"
"inventories","305.529","307.215","385.284","422.663","379.475","406.073","495.542","546.299","452.65","456.695","557.359","636.222","547.277","578.877","657.466","691.7","580.9","607.3","662.7","692.8","590.4","627.8","703.6","664.9","544.9","488.7","496.6","543.3","620.5","772.4","856.7","965.8","1124","1205","1249.2","1241.5","1093.2","1124.5","1173.8","1111.2","943.3","954.7","1025.8","1090.9","1018.3","1061.1","1166","1306.4","1242.6","1293.1","1325.1","1378.5","1218.7","1323.6","1357.3","1364","1313.2","1375.9","1387.4","1400.5","1354.6","1443","1517.2","1529.4","1408.7","1492.2","1583.8","1551.4","1471.5","1503.6","1548.2","1603.9","1637.1","1920","2132.9","2176.6"
"other_current_assets","131.352","137.852","144.534","134.997","145.419","154.142","147.31","165.237","162.984","174.64","185.393","215.651","217.966","221.379","229.441","278.2","305.1","300.1","360.8","403.4","376","372.5","382.2","433.8","418.9","408.1","436.7","460.7","413.2","484.7","416.3","391.9","408.9","474.8","389.8","435.2","393.9","468","514.8","565","523.5","544.8","553.9","603","909.8","678.9","746.8","334.2","340.8","429.1","467.5","347.4","357","409.9","354.8","290.1","335","1169","408.3","507.4","486.7","477.6","484.1","347.1","333","300.7","276.5","227.5","252.5","252.8","336","401.5","409.7","343.3","379.8","386.6"
"total_current_assets","1224.719","1221.288","1371.691","1350.895","1652.72","1412.457","1140.375","1209.334","1351.929","1267.414","1369.672","1529.788","1429.536","1384.862","1467.796","1696.5","1737.6","1579.2","1657.3","1748","1693.9","1604.1","1717.7","2035.8","2583.9","2490.4","2610.9","2756.4","3400.4","3540.3","3587","3794.9","4237.1","4351.5","4569.6","4199.6","4416","3810.2","4239.7","5471.4","3759.4","3579","3356.9","4168.7","4546.1","4245.4","4760.7","3971","4727.7","3883.5","4856.2","4757.9","4616.2","4919.4","5509.3","5283.4","6883.5","5657","5583.4","12494.2","7676.3","4952.3","7734.8","5653.9","5899.7","5749.9","7581","7806.4","8357.5","6979.5","7931.7","9756.4","7255.1","7541.1","7067.5","7018.7"
