"period_end_date","2003-03","2003-06","2003-09","2003-12","2004-03","2004-06","2004-09","2004-12","2005-03","2005-06","2005-09","2005-12","2006-03","2006-06","2006-09","2006-12","2007-03","2007-06","2007-09","2007-12","2008-03","2008-06","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"gross_profit_growth","0.67","0.53","0.74","0.68","0.7","0.8100000000000001","1.09","-0.88","-0.06","-0.09","-0.18","14.69","0.84","0.92","0.7","0.5","0.45","0.21","0.02","-0.05","-0.06","","0.17","0.24","0.3","0.3","0.27","0.33","0.38","0.47","0.41","0.21","0.5","0.46","0.37","0.46","-0.12","-0.18","-0.15","-0.26","0.17","0.26","0.27","0.59","0.4","0.38","0.48","0.33","0.31","0.23","0.24","0.22","0.12","0.21","0.34","0.04","0.67","0.4","0.31","0.35","0.43","0.7","0.48","0.8100000000000001","0.18","0.27","0.46","0.38","0.31","0.31","0.2","0.24","0.52","0.33","0.28","","0.09","-0.01","-0.04"
"ebitda_growth","2.75","2.82","2.58","1.89","2.55","0.8","1.39","0.51","0.07000000000000001","0.27","-0.2","0.1","1.44","0.82","0.76","1.27","0.83","0.6","0.31","0.18","0.21","0.05","0.19","0.17","0.19","0.15","0.29","-2.06","0.4","0.32","0.34","2.83","0.71","0.9399999999999999","1.06","1.06","0.64","0.43","0.41","0.36","0.48","0.42","0.42","0.34","0.33","0.34","0.3","0.21","0.22","0.17","0.18","0.27","0.29","0.37","0.39","0.44","0.4","0.34","0.37","0.27","0.39","0.35","0.3","0.17","0.17","0.28","0.36","0.36","0.33","0.35","0.24","0.29","0.36","0.18","0.17","0.12","0.11","0.05","0.1"
"operating_income_growth","-0.21","2.12","2.26","1.85","-0.29","-0.08","5.44","2.06","-0.54","0.7","-0.7","-0.4","1.49","4.27","2.09","5.68","1.35","0.63","0.26","0.08","0.29","-0.11","0.58","0.88","1.44","0.54","0.45","0.29","0.65","0.47","0.41","0.61","0.75","0.49","0.39","-0.21","-1.02","-0.86","-0.83","-0.68","17.45","2.54","2.54","3.19","2.07","1.27","0.93","-0.21","","-0.42","-0.33","-0.08","-0.49","-0.06","0.44","1.57","4.2","0.82","0.97","0.59","0.74","2.62","1.3","-0.12","0.03","0.53","1.04","1.13","1.09","0.92","0.34","1.08","1.05","0.36","0.33","-0.34","0.01","-0.15","-0.13"
"pretax_income_growth","","","","","","","","","","","-0.63","-0.23","1.82","3.84","2.11","4.39","1.29","0.57","0.23","0.05","0.36","-0.17","0.31","0.52","0.66","0.47","0.44","0.35","0.45","0.39","0.3","0.45","0.8100000000000001","0.51","0.43","-0.24","-1.07","-0.9","-0.87","-0.74","1.13","3.38","3.14","3.97","94.64","1.52","0.97","-0.38","-0.57","-0.66","-0.57","-0.54","0.04","0.27","0.87","3.35","4.61","-0.73","0.47","0.45","0.34","29.7","2.26","-0.09","0.33","0.17","1.67","0.25","0.99","1.07","-0.15","2.39","1.56","0.54","0.93","0.09","-0.03","0.02","-0.02"
"net_income_growth","","1.25","2.95","2.73","-0.28","-0.13","4.73","1.45","-0.52","0.97","-0.63","5.86","1.5","2","0.84","-0.61","1.24","0.5","0.23","0.06","0.35","0.04","0.29","0.44","0.68","0.22","0.48","0.36","0.44","0.34","0.26","0.52","0.87","0.57","0.65","-0.25","-1.08","-0.91","-0.88","-0.78","1.59","3.78","3.15","5.13","18.75","1.41","0.86","0.72","-0.55","-0.63","-0.5","-0.48","0.17","0.55","0.75","0.55","5.44","0.61","1.52","1.78","0.63","4.86","2.11","-0.28","0.19","-0.3","0.65","3.38","1.06","1.66","0.19","-0.08","1.41","0.88","0.83","0.12","-0.06","0.06","-0.04"
"eps_diluted_growth","0.82","1.09","2.17","2.5","-0.14","-0.25","4.86","0.83","-0.5","1.17","-0.61","6.55","1.42","1.77","0.63","-0.64","1","0.42","0.27","0.1","0.5","0.18","0.42","0.61","0.77","0.28","0.57","0.49","0.58","0.48","0.35","0.57","0.89","0.58","0.66","-0.16","-1.07","-0.91","-0.89","-0.82","1.64","3.38","2.89","4.95","16.57","1.29","0.89","0.71","-0.59","-0.63","-0.5","-0.48","0.2","0.5","0.71","0.5","5.67","0.67","1.42","1.73","0.6","4.67","2.07","-0.27","0.19","-0.29","0.65","3.33","1.07","1.65","0.18","-0.08","1.39","0.87","0.83","0.12","-0.06","0.08","-0.03"
"shares_diluted_growth","4.55","2.02","0.44","0.13","0.13","0.05","0.02","0.27","0.03","-0.01","0.02","0.04","0.26","0.07000000000000001","0.07000000000000001","0.05","0.06","0.01","-0.03","-0.05","-0.08","-0.09","-0.09","-0.1","-0.06","-0.07000000000000001","-0.07000000000000001","-0.08","-0.1","-0.09","-0.07000000000000001","-0.02","-0.01","-0.01","","0.02","0.02","0.09","0.09","0.07000000000000001","0.08","0.03","0.04","0.04","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","","","","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01","","","","","","","0.01","0.01","0.01","","","","-0.01","-0.01","-0.01"
"cash_and_equiv_growth","3.21","0.43","0.46","0.5","0.52","1.15","1.12","0.9399999999999999","0.66","0.11","0.08","0.22","0.37","1","1.03","0.89","-0.04","-0.46","-0.51","-0.5600000000000001","-0.23","-0.22","-0.38","-0.21","-0.32","-0.39","-0.5","-0.04","-0.31","0.23","-1","0.45","0.88","0.63","","1.61","1.63","1.3","1.33","-0.43","0.06","-0.08","0.19","1.08","1.77","2.28","1.69","0.84","1.12","0.89","0.79","0.62","-0.35","-0.39","-0.54","-0.19","-0.33","0.38","0.8","0.92","1.41","1.04","0.76","0.34","0.29","0.28","0.45","0.32","0.54","0.43","0.89","0.64","0.63","0.09","-0.1","-0.27","-0.28","-0.25","-0.19"
"ppe_growth","0.03","0.83","0.93","0.74","-0.29","-0.53","-0.45","0.92","1.29","1.48","1.23","1.15","0.7","2.6","0.42","0.38","0.61","-0.32","0.66","0.39","0.35","2.81","0.79","0.62","0.42","-0.53","-0.05","0.05","0.03","0.02","-1","-0.02","0.06","0.11","","0.06","-0.05","-0.09","-0.07000000000000001","-0.03","0.01","0.03","-0.05","0.01","0.03","0.11","0.13","0.12","0.09","0.21","0.26","0.16","0.14","-0.05","0.06","0.44","0.65","0.9","0.68","0.28","0.24","0.13","0.15","0.31","0.27","0.29","0.3","0.35","0.5","0.66","0.72","0.7","0.5600000000000001","0.47","0.47","0.38","0.36","0.23","0.13"
"total_assets_growth","2.03","0.27","0.29","0.35","0.41","0.36","0.48","0.43","0.33","0.32","0.18","0.45","0.55","0.91","0.98","0.67","0.59","0.19","0.13","0.12","-0.06","0.06","-0.07000000000000001","-0.1","0.07000000000000001","-0.08","-0.16","0.1","0.03","0.17","-1","0.44","0.68","1.26","","2.13","2.19","1.21","0.9399999999999999","0.29","0.25","0.29","0.29","0.36","0.39","0.41","0.38","0.3","0.53","0.53","0.46","0.45","0.22","0.2","0.25","0.33","0.27","0.42","0.37","0.4","0.4","0.37","0.38","0.37","0.35","0.33","0.32","0.31","0.29","0.23","0.25","0.16","0.14","0.1","0.11","0.14","0.13","0.13","0.11"
