Symbol,revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
F,26752.0,3848.0,971.0,561.0,561.0,3992.0,4028.0,22955.0,101275.0,64285.0,64285.0,77649.0,248532.0,83474.0,213748.0,34784.0,248532.0,553.0,756.0,-1513.0,2153.0,-1513.0,-757.0,34784.0,34043.0,0.14,7.15,4112.0,2021-06
F,35683.0,5626.0,2679.0,1832.0,1832.0,3995.0,4036.0,27429.0,106968.0,63337.0,63337.0,77049.0,252677.0,89033.0,215973.0,36704.0,252677.0,-7226.0,427.0,-1920.0,4548.0,-1920.0,-1493.0,36704.0,36009.0,0.16,6.88,4113.0,2021-09
F,37678.0,5285.0,2037.0,12282.0,12282.0,3997.0,4055.0,20540.0,108996.0,95842.0,63500.0,79264.0,257035.0,90727.0,208413.0,48622.0,257035.0,21321.0,10112.0,-1426.0,3204.0,-1426.0,8686.0,48622.0,47892.0,0.14,5.29,4121.0,2021-12
F,34476.0,5440.0,2700.0,-3110.0,-3110.0,4008.0,4008.0,21013.0,106142.0,62171.0,62171.0,79750.0,252986.0,90352.0,207902.0,45084.0,252986.0,-3119.0,-1084.0,-1370.0,4247.0,-1370.0,-2454.0,45084.0,44467.0,0.16,5.61,4137.0,2022-03
F,40190.0,6999.0,4240.0,667.0,667.0,4021.0,4052.0,19516.0,100469.0,60695.0,60695.0,79800.0,245755.0,86452.0,201518.0,44237.0,245755.0,638.0,2947.0,-1699.0,5859.0,-1699.0,1248.0,44237.0,43642.0,0.17,5.56,4138.0,2022-06
F,39392.0,5038.0,2191.0,-827.0,-827.0,4021.0,4021.0,21548.0,108088.0,59084.0,59084.0,76616.0,246919.0,90167.0,204830.0,42089.0,246919.0,8118.0,10393.0,-1386.0,3469.0,-1386.0,9007.0,42089.0,41514.0,0.13,5.87,4138.0,2022-09
COST,10521.478,1301.356,254.818,160.175,160.175,457.632,480.348,1801.52,6617.83,9299.707,7159.27,549.19,14326.29,5949.786,7461.111,6865.179,14326.29,160.175,703.281,-221.637,352.157,-221.637,481.644,6865.179,6865.179,0.12,2.09,457.793,2003-11
COST,11548.974,1446.997,355.176,226.792,226.792,458.228,481.537,2175.937,6499.595,9434.673,7202.888,574.985,14277.468,5587.47,7104.26,7173.208,14277.468,226.792,569.403,-108.205,457.65,-108.205,461.198,7173.208,7173.208,0.13,1.99,458.776,2004-02
COST,10897.239,1356.927,310.147,198.658,198.658,459.074,482.485,2492.928,6925.409,9442.569,7148.721,541.152,14615.282,5844.395,7341.26,7274.022,14615.282,198.658,345.965,-85.024,413.908,-85.024,260.941,7274.022,7274.022,0.12,2.01,459.39,2004-05
COST,15142.216,1912.611,465.507,296.768,296.768,461.959,485.651,2823.135,7269.099,9541.376,7219.829,603.62,15092.548,6170.55,7408.472,7684.076,15092.548,296.768,477.616,-235.354,602.654,-235.354,242.262,7684.076,7684.076,0.13,1.96,462.637,2004-08
COST,11578.003,1445.516,300.645,193.153,193.153,465.869,489.284,2884.999,8387.021,9927.861,7454.743,568.554,16410.318,7036.385,8140.587,8269.731,16410.318,193.153,44.534,-206.48,408.705,-206.48,-161.946,8269.731,8269.731,0.12,1.98,471.873,2004-11
COST,12658.077,1602.013,389.895,305.452,305.452,474.221,493.7,3043.335,8363.116,10070.508,7516.21,569.741,16449.067,6774.381,7773.605,8675.462,16449.067,305.452,719.74,-197.105,500.009,-197.105,522.635,8675.462,8675.462,0.13,1.9,477.4,2005-02
COST,11996.9,1493.239,316.139,209.788,209.788,478.248,493.282,2725.116,8569.366,10277.597,7629.579,583.474,16782.419,6871.345,7862.059,8920.36,16782.419,209.788,493.627,-217.836,427.55,-217.836,275.791,8920.36,8920.36,0.12,1.88,479.287,2005-05
COST,16719.246,2064.497,484.017,354.699,354.699,477.485,491.399,2062.585,8238.001,10487.03,7790.192,637.012,16665.205,6760.537,7725.482,8939.723,16665.205,354.699,518.06,-354.578,636.27,-354.578,163.482,8939.723,8939.723,0.12,1.86,472.48,2005-08
COST,12933.346,1603.175,325.495,215.818,215.818,472.717,486.367,2008.88,8842.185,10704.204,7915.639,624.396,17382.22,7454.831,8255.657,9126.563,17382.22,215.818,133.573,-262.91,439.634,-262.91,-129.337,9126.563,9126.563,0.12,1.9,475.828,2005-11
COST,14059.012,1755.162,432.744,296.203,296.203,471.889,482.127,2239.786,8452.13,10974.062,8066.278,657.158,17175.566,7250.021,8048.368,9127.198,17175.566,296.203,810.205,-232.226,543.002,-232.226,577.979,9127.198,9127.198,0.12,1.88,469.635,2006-02
COST,13283.648,1648.596,355.889,235.595,235.595,470.516,480.533,2010.448,8347.133,11307.37,8274.019,663.175,17284.327,7492.306,7983.484,9300.843,17284.327,235.595,284.851,-253.737,483.915,-253.737,31.114,9300.843,9300.843,0.12,1.86,469.802,2006-05
COST,19875.221,2398.797,515.746,355.599,355.599,463.775,472.565,1510.939,8232.082,11642.436,8564.295,698.693,17495.07,7819.191,8288.273,9206.797,17495.07,355.599,598.661,-447.954,678.608,-447.954,150.707,9206.797,9206.797,0.12,1.9,462.279,2006-08
COST,14151.624,1762.666,357.472,236.886,236.886,458.873,467.836,1843.101,8864.259,12018.097,8831.818,719.097,18415.174,8946.859,9378.733,9036.441,18415.174,236.886,407.49,-385.392,484.448,-385.392,22.098,9036.441,9036.441,0.12,2.04,455.392,2006-11
COST,15112.016,1860.264,364.787,249.478,249.478,450.901,461.575,1571.905,8275.765,12206.633,8916.771,732.685,17925.221,8664.5,9070.673,8854.548,17925.221,249.478,318.425,-271.303,496.406,-271.303,47.122,8854.548,8854.548,0.12,2.02,449.327,2007-02
