Date,Open,High,Low,Close,Adj Close,Volume
2019-12-05,36.404175,36.404175,35.853889,36.081593,32.587814,13098058
2019-12-06,36.318787,36.546490,36.261860,36.328274,32.810604,12868708
2019-12-09,36.148006,36.413662,36.148006,36.356735,32.836315,15641571
2019-12-10,36.309299,36.603416,36.233398,36.508537,32.973408,19171311
2019-12-11,36.404175,36.593929,36.242886,36.261860,32.750618,15569372
2019-12-12,36.214420,36.641365,36.214420,36.565464,33.024834,13414469
2019-12-13,36.546490,36.698292,36.119545,36.366222,32.844879,16678496
2019-12-16,36.717270,37.381405,36.679317,37.134724,33.538960,24187824
2019-12-17,37.419353,37.419353,36.850094,36.907021,33.333309,29038016
2019-12-18,37.011387,37.077801,36.660343,36.897533,33.324741,27339390
2019-12-19,37.001900,37.144215,36.821632,36.973434,33.393288,22022276
2019-12-20,37.333965,37.514233,36.973434,37.220116,33.616096,58199772
2019-12-23,37.400379,37.495255,37.125237,37.305504,33.693203,17454345
2019-12-24,37.314991,37.419353,37.191650,37.277039,33.667503,5187683
2019-12-26,37.286530,37.542694,37.191650,37.362431,33.744625,9384078
2019-12-27,37.409866,37.590134,37.239090,37.305504,33.693203,10117662
2019-12-30,37.286530,37.400379,36.897533,36.916508,33.341877,11554264
2019-12-31,36.802658,37.191650,36.726753,37.172676,33.573238,15175703
2020-01-02,37.286530,37.333965,36.888046,37.134724,33.538960,16514072
2020-01-03,36.736244,37.229603,36.688805,36.935486,33.359020,14922848
2020-01-06,36.831120,37.001900,36.717270,36.888046,33.316170,15771951
2020-01-07,37.115749,37.125237,36.698292,36.764706,33.204781,20108107
2020-01-08,36.774193,37.210625,36.764706,37.058823,33.470413,16403507
2020-01-09,37.258064,37.258064,36.802658,36.897533,33.324741,21971895
2020-01-10,36.982922,37.599621,36.973434,37.466793,33.838882,21557357
2020-01-13,37.590134,37.732449,37.201138,37.390892,33.770325,15392405
2020-01-14,37.409866,38.026566,37.286530,38.017078,34.335880,20919160
2020-01-15,38.130932,38.776093,38.111954,38.586338,34.850021,23925800
2020-01-16,38.700191,38.709679,38.254269,38.529411,34.798607,16216422
2020-01-17,38.491463,38.719166,38.349148,38.434536,34.712917,23083970
2020-01-21,38.311195,38.576851,38.130932,38.273247,34.567249,23115696
2020-01-22,38.254269,38.339657,37.922199,38.130932,34.438709,18097812
2020-01-23,38.130932,38.738140,38.074005,38.624287,34.884293,27148510
2020-01-24,38.842506,38.870968,37.609108,37.779884,34.121655,34143698
