revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
35747.0,3292.0,1109.0,482.0,482.0,9340.0,9600.0,15890.0,35705.0,30053.0,21838.0,2453.0,64747.0,33887.0,51363.0,13384.0,64747.0,482.0,8931.0,-2107.0,2861.0,-2107.0,6824.0,13384.0,8633.0,0.09,4.84,9420.0,2015-12
29128.0,3049.0,1071.0,513.0,513.0,9420.0,9620.0,12470.0,30513.0,23308.0,23308.0,3522.0,61128.0,28187.0,46372.0,14756.0,61128.0,513.0,-1953.0,-1179.0,2898.0,-1179.0,-3132.0,14756.0,10971.0,0.1,4.14,9440.0,2016-03
30404.0,3466.0,1285.0,857.0,857.0,9460.0,9660.0,12521.0,32220.0,25190.0,25190.0,3892.0,65076.0,29587.0,48538.0,16538.0,65076.0,857.0,3578.0,-1711.0,3194.0,-1711.0,1867.0,16538.0,12764.0,0.11,3.93,9480.0,2016-06
32714.0,2984.0,575.0,252.0,252.0,9480.0,9700.0,13656.0,35609.0,27177.0,27177.0,4296.0,70897.0,33498.0,53115.0,17782.0,70897.0,252.0,4659.0,-1841.0,2659.0,-1841.0,2818.0,17782.0,13967.0,0.09,3.99,9500.0,2016-09
43741.0,4519.0,1255.0,749.0,749.0,9540.0,9740.0,19334.0,45781.0,42441.0,29114.0,3869.0,83402.0,43816.0,64117.0,19285.0,83402.0,749.0,10919.0,-3073.0,3552.0,-3073.0,7846.0,19285.0,14647.0,0.1,4.32,9540.0,2016-12
35714.0,3764.0,1005.0,724.0,724.0,9540.0,9800.0,15440.0,39460.0,32632.0,32632.0,5054.0,80969.0,37399.0,59295.0,21674.0,80969.0,724.0,-1619.0,-1861.0,3440.0,-1861.0,-3480.0,21674.0,17851.0,0.11,3.74,9560.0,2017-03
37955.0,3797.0,628.0,197.0,197.0,9580.0,9840.0,13203.0,41007.0,37083.0,37083.0,5437.0,87781.0,40520.0,64567.0,23214.0,87781.0,197.0,3850.0,-2501.0,3261.0,-2501.0,1349.0,23214.0,18960.0,0.1,3.78,9600.0,2017-06
43744.0,3831.0,347.0,256.0,256.0,9620.0,9880.0,12767.0,48578.0,45335.0,45335.0,8083.0,115267.0,47072.0,90609.0,24658.0,115267.0,256.0,3777.0,-2659.0,3259.0,-2659.0,1118.0,24658.0,11387.0,0.09,4.67,9640.0,2017-09
60453.0,6670.0,2127.0,1857.0,1857.0,9660.0,9920.0,20522.0,60197.0,72656.0,48866.0,5526.0,131310.0,57883.0,103601.0,27709.0,131310.0,1857.0,12358.0,-3036.0,5625.0,-3036.0,9322.0,27709.0,10988.0,0.11,4.74,9680.0,2017-12
51042.0,5756.0,1927.0,1629.0,1629.0,9680.0,9960.0,16676.0,50829.0,52331.0,52331.0,9814.0,126362.0,48045.0,94899.0,31463.0,126362.0,1629.0,-1791.0,-2727.0,5598.0,-2727.0,-4518.0,31463.0,18075.0,0.11,4.02,9700.0,2018-03
