revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,cf_cff,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
18103.0,11182.0,4399.0,4675.0,4675.0,13578.815,13769.774,18347.0,78656.0,32746.0,23883.0,3363.0,129187.0,16779.0,25327.0,103860.0,129187.0,4675.0,7012.0,-3606.0,-992.0,5666.0,-3606.0,3406.0,103860.0,83654.0,0.62,1.24,13622.1,2014-12
17258.0,10902.0,4447.0,3515.0,3515.0,13618.295,13789.954,16976.0,80313.0,34843.0,25448.0,3596.0,133400.0,14336.0,24952.0,108448.0,133400.0,3515.0,6722.0,-2927.0,-496.0,5624.0,-2927.0,3795.0,108448.0,88495.0,0.63,1.23,13665.4,2015-03
17727.0,11144.0,4825.0,3931.0,3931.0,13672.335,13817.554,18453.0,84164.0,37112.0,27008.0,3403.0,138807.0,17362.0,27024.0,111783.0,138807.0,3931.0,7096.0,-2515.0,-561.0,6059.0,-2515.0,4581.0,111783.0,91960.0,0.63,1.24,13709.8,2015-06
18675.0,11638.0,4708.0,3979.0,3979.0,13728.695,13886.374,18068.0,88103.0,38908.0,28338.0,3329.0,144281.0,18457.0,28040.0,116241.0,144281.0,3979.0,6145.0,-2406.0,-609.0,5956.0,-2406.0,3739.0,116241.0,96543.0,0.62,1.24,13753.9,2015-09
21329.0,13141.0,5380.0,4923.0,4923.0,13750.714,13940.494,16549.0,90114.0,40146.0,29016.0,3432.0,147461.0,19310.0,27130.0,120331.0,147461.0,4923.0,6609.0,-2102.0,-2559.0,6784.0,-2102.0,4507.0,120331.0,100615.0,0.62,1.23,13747.0,2015-12
20257.0,12609.0,5342.0,4207.0,4207.0,13750.354,13986.214,15111.0,90955.0,41995.0,30162.0,3530.0,149747.0,17684.0,26178.0,123569.0,149747.0,4207.0,7658.0,-2428.0,-2911.0,6713.0,-2428.0,5230.0,123569.0,104046.0,0.62,1.21,13735.8,2016-03
21500.0,13370.0,5968.0,4877.0,4877.0,13724.375,13936.934,13627.0,94238.0,43904.0,31413.0,3528.0,154292.0,17341.0,26413.0,127879.0,154292.0,4877.0,9120.0,-2123.0,-3440.0,7458.0,-2123.0,6997.0,127879.0,108586.0,0.62,1.21,13735.6,2016-06
22451.0,13752.0,5767.0,5061.0,5061.0,13751.214,13968.794,9406.0,98546.0,46094.0,32753.0,3549.0,159948.0,14323.0,25845.0,134103.0,159948.0,5061.0,9845.0,-2357.0,-1089.0,7363.0,-2357.0,7488.0,134103.0,114708.0,0.61,1.19,13782.7,2016-09
26064.0,15403.0,6639.0,5333.0,5333.0,13796.294,14004.534,12918.0,105408.0,47527.0,34234.0,2202.0,167497.0,16756.0,28461.0,139036.0,167497.0,5333.0,9413.0,-3064.0,-892.0,8326.0,-3064.0,6349.0,139036.0,119261.0,0.59,1.2,13825.9,2016-12
24750.0,14955.0,6568.0,5426.0,5426.0,13831.094,14040.714,18132.0,108794.0,50321.0,35936.0,2211.0,172756.0,15256.0,27807.0,144949.0,172756.0,5426.0,9548.0,-2467.0,-1674.0,8071.0,-2467.0,7081.0,144949.0,125265.0,0.6,1.19,13842.2,2017-03
26010.0,15637.0,6868.0,3524.0,3524.0,13839.174,14070.054,15711.0,112386.0,53341.0,37676.0,2380.0,178621.0,18685.0,30335.0,148286.0,178621.0,3524.0,7403.0,-2818.0,-2740.0,8493.0,-2818.0,4585.0,148286.0,128749.0,0.6,1.2,13857.5,2017-06
27772.0,16624.0,7782.0,6732.0,6732.0,13869.694,14074.314,10581.0,119345.0,56358.0,40120.0,3188.0,189536.0,20693.0,32436.0,157100.0,189536.0,6732.0,9872.0,-3511.0,-706.0,9543.0,-3511.0,6361.0,157100.0,137486.0,0.6,1.21,13895.8,2017-09
32323.0,18056.0,7696.0,-3020.0,-3020.0,13867.694,14101.614,10715.0,124308.0,59647.0,42383.0,3352.0,197295.0,24183.0,44793.0,152502.0,197295.0,-3020.0,10268.0,-4289.0,-3178.0,9722.0,-4289.0,5979.0,152502.0,133063.0,0.56,1.29,13895.7,2017-12
31146.0,17679.0,7633.0,9401.0,9401.0,13895.034,14102.674,12658.0,123761.0,67801.0,48845.0,2682.0,206935.0,25394.0,46110.0,160825.0,206935.0,9401.0,11642.0,-7269.0,-2018.0,9619.0,-7269.0,4373.0,160825.0,140154.0,0.57,1.29,13898.9,2018-03
32657.0,18774.0,8116.0,3195.0,3195.0,13898.694,14064.934,14148.0,124157.0,71876.0,51672.0,3737.0,211610.0,29903.0,49610.0,162000.0,211610.0,3195.0,10132.0,-5477.0,-4937.0,10230.0,-5477.0,4655.0,162000.0,141443.0,0.57,1.31,13918.9,2018-06
