revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
3612.8,1574.1,487.5,325.8,325.8,2080.567,2118.123,1472.1,7044.7,3283.2,1598.4,333.6,9518.2,2304.2,3256.6,6261.6,9518.2,325.8,214.9,-66.8,578.1,-66.8,148.1,6261.6,5720.1,0.44,1.52,2068.94,2006-02
4005.4,1753.4,521.3,332.8,332.8,2065.749,2119.232,954.2,7359.0,3408.3,1657.7,316.6,9869.6,2623.3,3584.4,6285.2,9869.6,332.8,714.8,-101.2,578.5,-101.2,613.6,6285.2,5748.9,0.44,1.57,2048.0,2006-05
4194.1,1849.2,559.5,377.2,377.2,2005.65,2005.65,1030.7,6999.1,3451.1,1648.7,384.4,9570.5,2409.7,3349.6,6220.9,9570.5,377.2,231.8,-72.2,633.5,-72.2,159.6,6220.9,5682.6,0.44,1.54,2005.65,2006-08
3821.7,1657.1,433.4,325.6,325.6,2025.235,2052.789,1102.9,7209.6,3548.4,1673.0,402.1,9822.2,2285.2,3284.1,6538.1,9822.2,325.6,309.8,-82.5,501.7,-82.5,227.3,6538.1,6000.6,0.43,1.5,2015.97,2006-11
3926.9,1735.2,491.9,350.8,350.8,2015.197,2037.101,1879.2,7640.1,3568.9,1654.6,387.0,10218.6,2312.7,3370.6,6848.0,10218.6,350.8,373.2,-34.6,538.8,-34.6,338.6,6848.0,6311.1,0.44,1.49,2022.05,2007-02
4383.2,1919.0,647.0,437.9,437.9,2016.571,2033.406,1856.7,8076.5,3619.1,1678.3,392.8,10688.3,2584.0,3662.9,7025.4,10688.3,437.9,963.9,-95.9,728.0,-95.9,868.0,7025.4,6484.7,0.44,1.52,2008.43,2007-05
4655.1,2087.0,652.3,569.7,569.7,1998.947,2034.643,1973.9,8341.5,3732.5,1717.6,414.1,11013.5,2615.4,3658.9,7354.6,11013.5,569.7,319.5,-91.6,723.9,-91.6,227.9,7354.6,6814.3,0.45,1.5,1994.8,2007-08
4339.5,1921.1,491.6,359.4,359.4,1996.667,2024.789,2470.5,8687.4,3907.8,1788.1,438.6,11454.6,2788.9,3962.4,7492.2,11454.6,359.4,630.4,-109.9,577.4,-109.9,520.5,7492.2,6951.7,0.44,1.53,1989.02,2007-11
4544.4,2047.9,644.7,463.8,463.8,1973.617,2016.522,2242.4,8904.7,4009.7,1820.0,548.3,11788.2,2943.2,4175.0,7613.2,11788.2,463.8,353.9,-90.0,736.2,-90.0,263.9,7613.2,7098.0,0.45,1.55,2021.2,2008-02
5088.0,2331.4,645.1,490.5,490.5,1960.029,2009.513,2133.9,8839.3,4103.0,1891.1,520.4,12442.7,3321.5,4617.4,7825.3,12442.7,490.5,632.5,-155.8,717.7,-155.8,476.7,7825.3,6633.4,0.46,1.59,1964.4,2008-05
