revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,cf_cff,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
28270.0,11380.0,8710.0,6623.0,6623.0,25991.868,26306.448,9815.0,44988.0,11768.0,7777.0,3556.0,116371.0,27970.0,39756.0,76615.0,116371.0,6623.0,10429.0,-1645.0,431.0,9253.0,-1645.0,8784.0,76615.0,72183.0,0.4,1.52,26019.8,2011-09
46333.0,20703.0,17340.0,13064.0,13064.0,26069.148,26364.016,10310.0,54771.0,12340.0,7816.0,4281.0,138681.0,34607.0,48627.0,90054.0,138681.0,13064.0,17554.0,-1321.0,69.0,18061.0,-1321.0,16233.0,90054.0,85686.0,0.45,1.54,26102.0,2011-12
39186.0,18564.0,15384.0,11622.0,11622.0,26140.296,26457.004,10121.0,50712.0,13941.0,8847.0,4992.0,150934.0,32036.0,48436.0,102498.0,150934.0,11622.0,13977.0,-1457.0,310.0,16124.0,-1457.0,12520.0,102498.0,97753.0,0.47,1.47,26179.5,2012-03
35023.0,14994.0,11573.0,8824.0,8824.0,26224.688,26517.652,7945.0,51943.0,16205.0,10487.0,5438.0,162896.0,33060.0,51150.0,111746.0,162896.0,8824.0,10189.0,-2056.0,-55.0,12408.0,-2056.0,8133.0,111746.0,106285.0,0.43,1.46,26243.4,2012-06
35966.0,14401.0,10944.0,8223.0,8223.0,26271.168,26546.768,10746.0,57653.0,21887.0,15452.0,5478.0,176064.0,38542.0,57854.0,118210.0,176064.0,8223.0,9136.0,-3461.0,-2022.0,11925.0,-3461.0,5675.0,118210.0,112851.0,0.4,1.49,26297.8,2012-09
54512.0,21060.0,17210.0,13078.0,13078.0,26289.648,26522.076,16154.0,72348.0,23214.0,15422.0,5183.0,196088.0,46879.0,68742.0,127346.0,196088.0,13078.0,23426.0,-2317.0,-4497.0,18798.0,-2317.0,21109.0,127346.0,121503.0,0.39,1.54,26291.2,2012-12
43603.0,16349.0,12558.0,9547.0,9547.0,26309.612,26488.98,12053.0,63337.0,24194.0,15026.0,5294.0,194743.0,35508.0,59253.0,135490.0,194743.0,9547.0,12504.0,-2008.0,-2248.0,14250.0,-2008.0,10496.0,135490.0,129954.0,0.37,1.44,26322.6,2013-03
35323.0,13024.0,9201.0,6900.0,6900.0,25721.292,25879.416,11248.0,68219.0,26889.0,16327.0,5421.0,199856.0,36319.0,76502.0,123354.0,199856.0,6900.0,7828.0,-1885.0,-2126.0,10895.0,-1885.0,5943.0,123354.0,117479.0,0.37,1.62,25436.4,2013-06
37472.0,13871.0,10030.0,7512.0,7512.0,25316.552,25455.684,14259.0,73286.0,28519.0,16597.0,5146.0,207000.0,43658.0,83451.0,123549.0,207000.0,7512.0,9908.0,-1955.0,-7508.0,11813.0,-1955.0,7953.0,123549.0,117793.0,0.37,1.68,25178.0,2013-09
57594.0,21846.0,17463.0,13072.0,13072.0,25090.016,25240.644,14077.0,80347.0,29288.0,15488.0,5091.0,225184.0,53769.0,95500.0,129684.0,225184.0,13072.0,22670.0,-1985.0,-7749.0,19607.0,-1985.0,20685.0,129684.0,123557.0,0.38,1.74,24991.5,2013-12
45646.0,17947.0,13593.0,10223.0,10223.0,24493.208,24626.796,18949.0,70541.0,30406.0,15120.0,5106.0,205989.0,43208.0,85810.0,120179.0,205989.0,10223.0,13538.0,-1382.0,-20407.0,15480.0,-1382.0,12156.0,120179.0,114196.0,0.39,1.71,24128.9,2014-03
37432.0,14735.0,10282.0,7748.0,7748.0,24050.54,24206.844,12977.0,67949.0,34453.0,17585.0,4160.0,222520.0,46205.0,101580.0,120940.0,222520.0,7748.0,10255.0,-2378.0,5987.0,12228.0,-2378.0,7877.0,120940.0,114799.0,0.39,1.84,23956.7,2014-06
42123.0,16009.0,11165.0,8467.0,8467.0,23735.388,23888.324,13844.0,68531.0,39015.0,20624.0,3764.0,231839.0,63448.0,120292.0,111547.0,231839.0,8467.0,13250.0,-3826.0,-15380.0,13134.0,-3826.0,9424.0,111547.0,102789.0,0.38,2.08,23464.6,2014-09
74599.0,29741.0,24246.0,18024.0,18024.0,23372.328,23527.212,19478.0,83403.0,40747.0,20392.0,3608.0,261894.0,73611.0,138566.0,123328.0,261894.0,18024.0,33722.0,-3217.0,-6923.0,26821.0,-3217.0,30505.0,123328.0,114329.0,0.4,2.12,23305.7,2014-12
58010.0,23656.0,18278.0,13569.0,13569.0,23175.196,23339.432,14489.0,67891.0,42460.0,20151.0,3937.0,261194.0,58729.0,132188.0,129006.0,261194.0,13569.0,19081.0,-2369.0,-1739.0,20757.0,-2369.0,16712.0,129006.0,120234.0,0.41,2.02,23049.1,2015-03
49605.0,19681.0,14083.0,10677.0,10677.0,22919.544,23092.396,15319.0,70953.0,45544.0,21149.0,4081.0,273151.0,65285.0,147474.0,125677.0,273151.0,10677.0,14988.0,-2043.0,-2755.0,17167.0,-2043.0,12945.0,125677.0,116854.0,0.4,2.17,22821.6,2015-06
51501.0,20548.0,14623.0,11124.0,11124.0,22587.672,22730.064,21120.0,89378.0,49257.0,22471.0,5422.0,290345.0,80610.0,170990.0,119355.0,290345.0,11124.0,13475.0,-3618.0,-6299.0,17742.0,-3618.0,9857.0,119355.0,110346.0,0.4,2.43,22315.0,2015-09
75872.0,30423.0,24171.0,18361.0,18361.0,22235.72,22376.508,16689.0,76219.0,51342.0,22300.0,7974.0,293284.0,76092.0,165017.0,128267.0,293284.0,18361.0,27463.0,-3612.0,-11444.0,27125.0,-3612.0,23851.0,128267.0,119141.0,0.4,2.29,22177.9,2015-12
50557.0,19921.0,13987.0,10516.0,10516.0,22057.524,22163.544,21514.0,87592.0,54051.0,23203.0,7745.0,305277.0,68265.0,174820.0,130457.0,305277.0,10516.0,11601.0,-2336.0,6884.0,16464.0,-2336.0,9265.0,130457.0,121365.0,0.39,2.34,21913.8,2016-03
42358.0,16106.0,10105.0,7796.0,7796.0,21772.232,21891.124,18237.0,93761.0,57991.0,25448.0,7862.0,305602.0,71486.0,179061.0,126541.0,305602.0,7796.0,10634.0,-2809.0,-9441.0,12631.0,-2809.0,7825.0,126541.0,117774.0,0.38,2.42,21572.7,2016-06
46852.0,17813.0,11761.0,9014.0,9014.0,21467.648,21573.324,20484.0,106869.0,61245.0,27010.0,8757.0,321686.0,79006.0,193437.0,128249.0,321686.0,9014.0,16533.0,-3977.0,-6889.0,14309.0,-3977.0,12556.0,128249.0,119629.0,0.38,2.51,21344.7,2016-09
78351.0,30176.0,23359.0,17891.0,17891.0,21194.644,21311.98,16371.0,103332.0,62759.0,26510.0,7390.0,331141.0,84130.0,198751.0,132390.0,331141.0,17891.0,27234.0,-3334.0,-12225.0,26346.0,-3334.0,23900.0,132390.0,124119.0,0.39,2.5,21021.7,2016-12
52896.0,20591.0,14097.0,11029.0,11029.0,20903.164,21046.752,15157.0,101990.0,65124.0,27163.0,7549.0,334532.0,73342.0,200450.0,134082.0,334532.0,11029.0,12570.0,-2975.0,418.0,16429.0,-2975.0,9595.0,134082.0,125992.0,0.39,2.49,20823.3,2017-03
45408.0,17488.0,10768.0,8717.0,8717.0,20780.352,20933.996,18571.0,112875.0,68981.0,29286.0,10150.0,345173.0,81302.0,212748.0,132425.0,345173.0,8717.0,8672.0,-2277.0,-2078.0,13122.0,-2277.0,6395.0,132425.0,124320.0,0.39,2.61,20679.1,2017-06
52579.0,19931.0,13120.0,10714.0,10714.0,20597.708,20734.344,20289.0,128645.0,75076.0,33783.0,18177.0,375319.0,100814.0,241272.0,134047.0,375319.0,10714.0,15749.0,-3865.0,-4089.0,15604.0,-3865.0,11884.0,134047.0,134047.0,0.38,2.8,20504.8,2017-09
88293.0,33912.0,26274.0,20065.0,20065.0,20451.508,20631.148,27491.0,143810.0,77110.0,33679.0,13323.0,406794.0,115788.0,266595.0,140199.0,406794.0,20065.0,28293.0,-2810.0,-7501.0,29019.0,-2810.0,25483.0,140199.0,132161.0,0.38,2.9,20326.6,2017-12
61137.0,23422.0,15894.0,13822.0,13822.0,20099.508,20273.972,45059.0,130053.0,80502.0,35077.0,23086.0,367502.0,89320.0,240624.0,126878.0,367502.0,13822.0,15130.0,-4195.0,-26272.0,18633.0,-4195.0,10935.0,126878.0,126878.0,0.38,2.9,19773.1,2018-03
53265.0,20421.0,12612.0,11519.0,11519.0,19528.668,19706.436,31971.0,115761.0,85368.0,38117.0,22546.0,349197.0,88548.0,234248.0,114949.0,349197.0,11519.0,14488.0,-3267.0,-31523.0,15277.0,-3267.0,11221.0,114949.0,114949.0,0.38,3.04,19371.7,2018-06
62900.0,24084.0,16118.0,14125.0,14125.0,19206.36,19390.184,25913.0,131339.0,90403.0,41304.0,22283.0,365725.0,115929.0,258578.0,107147.0,365725.0,14125.0,19523.0,-3041.0,-22580.0,18872.0,-3041.0,16482.0,107147.0,107147.0,0.38,3.41,19019.9,2018-09
84310.0,32031.0,23346.0,19965.0,19965.0,18943.28,19093.008,44771.0,140828.0,91526.0,39597.0,34686.0,373719.0,108283.0,255827.0,117892.0,373719.0,19965.0,26690.0,-3355.0,-13676.0,26741.0,-3355.0,23335.0,117892.0,117892.0,0.38,3.17,18919.2,2018-12
58015.0,21821.0,13415.0,11561.0,11561.0,18696.284,18802.584,37988.0,123346.0,93036.0,38746.0,34587.0,341998.0,93772.0,236138.0,105860.0,341998.0,11561.0,11155.0,-2363.0,-29457.0,16455.0,-2363.0,8792.0,105860.0,105860.0,0.38,3.23,18429.1,2019-03
53809.0,20227.0,11544.0,10044.0,10044.0,18282.532,18405.52,50530.0,134973.0,93984.0,37636.0,33634.0,322239.0,89704.0,225783.0,96456.0,322239.0,10044.0,11636.0,-2000.0,-26804.0,14477.0,-2000.0,9636.0,96456.0,96456.0,0.38,3.34,18125.6,2019-06
64040.0,24313.0,15625.0,13686.0,13686.0,17963.244,18081.496,48844.0,162819.0,95957.0,37378.0,32978.0,338516.0,105718.0,248028.0,90488.0,338516.0,13686.0,19910.0,-2777.0,-21039.0,18804.0,-2777.0,17133.0,90488.0,90488.0,0.38,3.74,17772.9,2019-09
91819.0,35217.0,25569.0,22236.0,22236.0,17660.16,17818.417,39771.0,163231.0,97990.0,37031.0,40457.0,340618.0,102161.0,251087.0,89531.0,340618.0,22236.0,30516.0,-2107.0,-25407.0,28385.0,-2107.0,28409.0,89531.0,89531.0,0.38,3.8,17536.1,2019-12
58313.0,22370.0,12853.0,11249.0,11249.0,17440.402,17618.765,40174.0,143753.0,98743.0,35889.0,41965.0,320400.0,96094.0,241975.0,78425.0,320400.0,11249.0,13311.0,-1853.0,-20940.0,15639.0,-1853.0,11458.0,78425.0,78425.0,0.38,4.09,17295.9,2020-03
59685.0,22680.0,13091.0,11253.0,11253.0,17250.291,17419.154,33383.0,140065.0,100917.0,35687.0,41000.0,317344.0,95318.0,245062.0,72282.0,317344.0,11253.0,16271.0,-1565.0,-19116.0,15843.0,-1565.0,14706.0,72282.0,72282.0,0.38,4.39,17135.8,2020-06
64698.0,24689.0,14775.0,12673.0,12673.0,17057.624,17256.522,38016.0,143713.0,103526.0,36766.0,42522.0,323888.0,105392.0,258549.0,65339.0,323888.0,12673.0,20576.0,-1784.0,-21357.0,17477.0,-1784.0,18792.0,65339.0,65339.0,0.38,4.96,16976.8,2020-09
111439.0,44328.0,33534.0,28755.0,28755.0,16935.119,17113.688,36010.0,154106.0,105493.0,37933.0,43270.0,354054.0,132507.0,287830.0,66224.0,354054.0,28755.0,38763.0,-3500.0,-32249.0,36200.0,-3500.0,35263.0,66224.0,66224.0,0.4,5.35,16823.3,2020-12
89584.0,38079.0,27503.0,23630.0,23630.0,16753.476,16929.157,38466.0,121465.0,107280.0,37815.0,43339.0,337158.0,106385.0,267980.0,69178.0,337158.0,23630.0,23981.0,-2269.0,-11326.0,30300.0,-2269.0,21712.0,69178.0,69178.0,0.43,4.87,16686.3,2021-03
81434.0,35255.0,24126.0,21744.0,21744.0,16629.371,16781.735,34050.0,114423.0,108857.0,38615.0,44854.0,329840.0,107754.0,265560.0,64280.0,329840.0,21744.0,21094.0,-2093.0,-29396.0,26958.0,-2093.0,19001.0,64280.0,64280.0,0.43,5.13,16556.9,2021-06
83360.0,35174.0,23786.0,20551.0,20551.0,16487.12,16635.095,34940.0,134836.0,109723.0,39440.0,48849.0,351002.0,125481.0,287912.0,63090.0,351002.0,20551.0,20200.0,-3223.0,-20382.0,26775.0,-3223.0,16977.0,63090.0,63090.0,0.42,5.56,16426.8,2021-09
123945.0,54243.0,41488.0,34630.0,34630.0,16391.724,16519.291,37119.0,153154.0,107699.0,39245.0,50109.0,381191.0,147574.0,309259.0,71932.0,381191.0,34630.0,46966.0,-2803.0,-28159.0,44185.0,-2803.0,44163.0,71932.0,71932.0,0.44,5.3,16334.4,2021-12
97278.0,42559.0,29979.0,25010.0,25010.0,16278.802,16403.316,28098.0,118180.0,109324.0,39304.0,51959.0,350662.0,127508.0,283263.0,67399.0,350662.0,25010.0,28166.0,-2514.0,-28351.0,32716.0,-2514.0,25652.0,67399.0,67399.0,0.44,5.2,16207.6,2022-03
82959.0,35885.0,23076.0,19442.0,19442.0,16162.945,16262.203,27502.0,112292.0,111851.0,40335.0,52605.0,336309.0,129873.0,278202.0,58107.0,336309.0,19442.0,22892.0,-2102.0,-27445.0,25881.0,-2102.0,20790.0,58107.0,58107.0,0.43,5.79,16095.4,2022-06
90146.0,38095.0,24894.0,20721.0,20721.0,16030.38,16118.465,23646.0,135405.0,114457.0,42117.0,54428.0,352755.0,153982.0,302083.0,50672.0,352755.0,20721.0,24127.0,-3289.0,-26794.0,27759.0,-3289.0,20838.0,50672.0,50672.0,0.42,6.96,15943.4,2022-09
