revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
954.976,213.37,-170.188,-184.227,-184.227,1900.335,1900.335,1150.673,2628.621,4170.132,3766.263,73.301,6468.185,2384.388,5752.251,715.934,6468.185,-184.227,-159.516,-405.165,-78.799,-405.165,-564.681,715.934,715.934,0.22,9.03,1906.51,2015-06
936.789,231.496,-183.662,-229.858,-229.858,1935.09,1935.09,1426.036,2998.795,4937.305,4464.536,84.166,7547.497,2553.771,6232.841,1314.656,7547.497,-229.858,-203.34,-392.403,-73.296,-392.403,-595.743,1314.656,1314.656,0.25,5.74,1963.52,2015-09
1214.38,218.564,-260.333,-320.397,-320.397,1966.995,1966.995,1196.908,2782.006,5765.863,5194.737,78.38,8067.939,2811.035,6984.235,1083.704,8067.939,-320.397,-29.849,-411.222,-116.61,-411.222,-441.071,1083.704,1070.888,0.18,7.44,1971.38,2015-12
1147.048,252.468,-248.224,-282.267,-282.267,1990.14,1990.14,1441.789,3239.543,6510.313,5837.224,114.935,9191.702,3187.699,8221.337,970.365,9191.702,-282.267,-249.605,-216.859,-91.764,-216.859,-466.464,970.365,970.365,0.22,9.47,2007.87,2016-03
1270.017,274.776,-238.04,-293.188,-293.188,2099.745,2099.745,3246.301,5203.705,7310.962,6526.976,138.271,11868.952,3766.404,9348.658,2520.294,11868.952,-293.188,150.336,-294.72,-54.808,-294.72,-144.384,2520.294,2520.294,0.22,4.71,2220.23,2016-06
2298.436,636.735,85.622,21.878,21.878,2234.865,2354.025,3084.257,5172.412,8170.451,7258.345,161.64,12592.397,4082.39,9911.909,2680.488,12592.397,21.878,423.649,-247.611,366.09,-247.611,176.038,2680.488,2680.488,0.28,4.7,2247.38,2016-09
2284.631,435.278,-266.698,-121.337,-121.337,2326.575,2326.575,3393.216,6259.796,16054.559,15036.917,991.218,22664.076,5827.005,16758.951,5905.125,22664.076,-219.469,-448.209,-681.281,60.241,-681.281,-1129.49,5905.125,5528.98,0.19,3.84,2423.42,2016-12
2696.27,667.946,-257.549,-330.277,-330.277,2431.935,2431.935,4006.593,7027.889,17787.289,16555.136,1041.109,25053.726,6245.439,18892.636,6161.09,25053.726,-397.181,-69.811,-772.572,119.053,-772.572,-842.383,6161.09,5731.498,0.25,4.07,2462.46,2017-03
2789.557,666.615,-240.916,-336.397,-336.397,2478.18,2478.18,3035.924,6359.444,19672.101,18218.554,1041.094,26043.705,6546.355,19461.59,6582.115,26043.705,-401.427,-200.172,-1157.912,148.255,-1157.912,-1358.084,6582.115,6157.502,0.24,3.96,2502.95,2017-06
2984.675,449.14,-535.48,-619.376,-619.376,2509.41,2509.41,3530.03,7068.733,21220.728,19516.596,1104.271,28107.074,6468.94,21929.414,6177.66,28107.074,-671.163,-300.562,-1244.727,-134.856,-1244.727,-1545.289,6177.66,5760.186,0.15,4.55,2520.25,2017-09
