revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,cf_cff,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
601.958,398.992,-86.376,-107.217,-107.217,698.326,698.326,947.71,4382.039,1479.676,758.837,161.865,6616.814,449.638,2059.961,4556.853,6616.814,-107.217,214.556,-39.087,-9.604,6.907,-39.087,175.469,4556.853,3242.78,0.66,1.45,706.3,2016-06
615.934,390.775,-78.089,-102.871,-102.871,704.359,704.359,1011.957,4478.413,1599.906,803.305,164.844,6742.946,470.598,2113.614,4629.332,6742.946,-102.871,189.192,-72.317,-27.851,22.789,-72.317,116.875,4629.332,3332.948,0.63,1.46,713.721,2016-09
717.206,411.496,-143.627,-167.054,-167.054,714.228,714.228,988.598,4652.196,1641.828,783.901,153.619,6870.365,584.021,2265.43,4604.935,6870.365,-167.054,196.543,-48.105,-22.441,-24.237,-48.105,148.438,4604.935,3324.286,0.57,1.49,721.572,2016-12
548.251,327.912,-40.278,-61.559,-61.559,722.048,722.048,1191.566,4695.332,1713.034,782.421,151.911,6892.742,488.992,2202.366,4690.376,6892.742,-61.559,203.448,-39.881,-23.652,62.514,-39.881,163.567,4690.376,3427.298,0.6,1.47,729.745,2017-03
573.855,360.947,-38.359,-116.488,-116.488,730.069,730.069,1288.323,4840.102,1780.886,781.272,90.244000000001,6963.098,494.578,2234.202,4728.896,6963.098,-116.488,189.707,-44.626,-15.171,64.704,-44.626,145.081,4728.896,3477.416,0.63,1.47,736.47,2017-06
589.633,379.617,7.279,-21.095,-21.095,736.515,736.515,1586.558,5002.422,1834.222,753.317,77.610000000001,7075.789,481.202,2246.383,4829.406,7075.789,-21.095,239.947,-36.076,-27.02,104.771,-36.076,203.871,4829.406,3586.966,0.64,1.47,741.907,2017-09
731.56,513.581,110.098,91.079,91.079,741.93,741.93,1638.413,5321.884,1928.088,773.715,78.289,7412.477,583.278,2365.259,5047.218,7412.477,91.079,198.107,-40.159,-12.53,202.618,-40.159,157.948,5047.218,3808.629,0.7,1.47,746.902,2017-12
664.871,442.048,74.925,60.997,60.997,747.697,765.861,1601.028,5409.235,2027.349,801.912,92.567999999999,7539.441,528.654,2329.005,5210.436,7539.441,60.997,242.673,-91.328,-29.036,171.771,-91.328,151.345,5210.436,3974.71,0.66,1.45,752.037,2018-03
710.541,480.356,79.624,100.117,100.117,752.351,772.556,2544.641,6540.504,2187.421,914.795,127.748,8861.23,594.419,3290.326,5570.904,8861.23,100.117,321.14,-193.757,1048.908,185.606,-193.757,127.383,5570.904,4292.721,0.68,1.59,756.956,2018-06
758.111,514.467,91.868,789.179,789.179,756.537,776.002,1928.929,6719.76,2232.514,904.027,849.656,9746.192,1457.646,3293.62,6452.572,9746.192,789.179,443.899,-116.701,-30.641,203.815,-116.701,327.198,6452.572,5179.823,0.68,1.51,760.403,2018-09
908.836,640.491,206.908,255.303,255.303,760.605,776.211,1894.444,7111.036,2165.252,885.078,894.164,10162.572,1516.311,3356.978,6805.594,10162.572,255.303,331.999,-69.078,-11.115,317.631,-69.078,262.921,6805.594,5533.3,0.7,1.49,764.257,2018-12
