revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,cf_cff,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
224.126,75.861,4.782,4.404,4.404,386.491,465.192,227.765,255.32,72.498,40.088,23.097,392.945,154.233,155.145,237.8,392.945,4.404,45.99,-34.024,3.834,35.684,-34.024,11.966,237.8,163.36,0.34,1.65,388.572,2006-03
239.351,88.772,23.488,17.037,17.037,408.681,484.225,341.702,370.09,131.049,98.639,42.964,512.712,145.327,146.358,366.354,512.712,17.037,53.299,-47.866,108.43,59.263,-47.866,5.433,366.354,365.335,0.37,1.4,475.557,2006-06
255.95,97.157,17.055,12.781,12.781,476.567,492.415,368.741,395.094,75.574,43.164,19.329,550.594,162.482,163.591,387.003,550.594,12.781,61.462,75.013,4.699,57.399,75.013,136.475,387.003,293.996,0.38,1.42,477.079,2006-09
277.233,107.885,18.688,14.86,14.86,479.43,492.954,400.43,428.418,100.846,55.503,19.95,608.779,193.447,194.568,414.211,608.779,14.86,87.111,-177.66,9.218,68.803,-177.66,-90.549,414.211,309.303,0.39,1.47,480.287,2006-12
305.32,110.348,11.215,9.864,9.864,480.851,494.704,218.458,426.273,109.795,64.452,20.248,625.11,191.721,192.906,432.204,625.11,9.864,63.029,-80.928,4.842,65.2,-80.928,-17.899,432.204,318.067,0.36,1.45,481.334,2007-03
303.693,107.0,38.273,25.494,25.494,476.217,489.237,184.182,410.57,112.698,67.355,20.473,612.3,167.033,168.219,444.081,612.3,25.406,65.329,-66.321,-15.708,94.756,-66.321,-0.99200000000001,444.081,330.179,0.35,1.38,473.467,2007-06
293.972,99.519,21.552,15.732,15.732,465.283,476.63,179.804,418.318,116.959,71.616,20.009,624.197,187.832,189.759,434.438,624.197,15.906,77.373,118.482,-29.554,75.253,118.482,195.855,434.438,320.184,0.34,1.44,459.672,2007-09
302.355,102.305,20.121,15.776,15.776,455.945,468.496,177.439,416.532,143.557,77.326,57.179,683.492,213.399,253.68,429.812,683.492,15.776,86.092,-10.413,-23.581,80.938,-10.413,75.679,429.812,297.357,0.34,1.59,454.39,2007-12
326.183,103.378,14.477,13.344,13.344,439.432,453.88,168.989,326.162,153.228,86.997,27.158,585.678,226.964,230.245,355.433,585.678,13.344,64.062,-12.431,-90.645,78.631,-12.431,51.631,355.433,210.072,0.32,1.65,430.852,2008-03
337.614,107.527,34.201,26.579,26.579,432.474,446.999,144.289,359.154,337.66,256.481,30.388,646.023,205.377,256.561,389.462,646.023,26.579,91.952,-135.96,6.848,99.717,-135.96,-44.008,389.462,389.462,0.32,1.66,433.374,2008-06
